title,artist,created,date,creditline,source
"IMPERIAL CUISINE (plate, facing page 102) from CUISINE: Recueil de 117 Recettes",André Villeboeuf,-1935,1964,The Louis E. Stern Collection,Documents/info664project/moma.csv
Bradford: View of a Town,Edward Wadsworth,c. 1914,1977,Jeanne C. Thayer Fund,Documents/info664project/moma.csv
"Exhibition Poster, Kizashi",Kiyoshi Awazu,1975,1980,Gift of Ivan Chermayeff,Documents/info664project/moma.csv
Memory of the Skin,Klaus Rinke,1987,1988,Purchase,Documents/info664project/moma.csv
Love Letter,Ken Solomon,2004,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Study for a Glider Nose,"Charles Eames, Gregory Ain, Harry Bertoia, Norman Bruns, Ray Eames, Marion Overby",1943,1989,Gift of Lucia Eames Demetrios and purchase,Documents/info664project/moma.csv
With Two Brushes (A deux pinceaux),"Pierre Alechinsky, Karel Appel",1978,1979,Gift of the artist,Documents/info664project/moma.csv
Morning of the Magicians,Joachim Koester,2005-2006,2008,Gift of Jerry I. Speyer and Katherine G. Farley,Documents/info664project/moma.csv
Madeleine the Brave,"Nathalie Djurberg, Hans Berg",2006,2016,Gift of Ninah and Michael Lynne,Documents/info664project/moma.csv
María's Great Expedition,Christina Fernandez,1995–96,2018,The Modern Women's Fund,Documents/info664project/moma.csv
"Eclectic House Facade, project","Venturi and Rauch, John Rauch, Robert Venturi",1977,1988,Gift of Kenneth Walker,Documents/info664project/moma.csv
Please Stand on the Right (Poster for London Transport),Unkn Graph Art/des - British,1936,1936,Gift of the London Passenger Transport Board,Documents/info664project/moma.csv
Untitled from series Malevich Merger Series,Howard Smagula,1978,1979,"Acquired with matching funds from Nelson Blitz, Jr. and the National Endowment for the Arts",Documents/info664project/moma.csv
The Inside Story of the New York-New Jersey Vehicular [Holland] Tunnel,"Fotograms News Photo Service, Inc.",1924,2001,The New York Times Collection,Documents/info664project/moma.csv
Statements from the Museum in Progress project TransAct: Transnational Activities in the Cultural Field,"Martin Prinzhorn, August Ruhs","(newspaper published June 2, 2000)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
Untitled from the series The Cell (Die Zelle),Gosbert Adler,1994,1999,The Family of Man Fund,Documents/info664project/moma.csv
Hairspray Face Protector,Robert P. Gottlieb,1974,1974,Gift of the manufacturer,Documents/info664project/moma.csv
Startloop car battery starting device,"Einar Hareide, Anders Hansen, Øivind Resch, Hareide Designmill",2001,2006,Gift of Hareide Designmill,Documents/info664project/moma.csv
Good Mornings Begin with the Inquirer,"Michael Engelmann, Carl Baker",1958,1960,Gift of Michael Engelmann,Documents/info664project/moma.csv
Pvt. Treptow's Pledge,C. Leroy Baldridge,1914-18,1943,Gift of Mrs. M. E. Wormser,Documents/info664project/moma.csv
"Untitled (Grinnell, Iowa)",Arthur Leon Child,c. 1900s,2021,Gift of Robert E. Jackson,Documents/info664project/moma.csv
"The Third Biennal at the Museum of Modern Art, São Paulo",Alexandre Wollner,1955,1955,Given anonymously,Documents/info664project/moma.csv
Berlin Startup Case Mod: Rocket Internet,Simon Denny,2014,2014,Fund for the Twenty-First Century,Documents/info664project/moma.csv
Bernhard Leitner letterhead,Bernhard Leitner,1970s,2015,"Elaine Lustig Cohen Collection, gift of Lawrence Benenson and the Committee on Architecture and Design Funds",Documents/info664project/moma.csv
"Gallery 360, Happenings for Sightseeing Bus Trip vol. 2 for Ben Patterson's Birthday Tour in Mt. Fuji, 2004 and Patterson: 3 Operas, 2004","Various Artists, Benjamin Patterson",2004,2008,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
University for Avant-Garde Hinduism / Yam Festival,"Nam June Paik, George Brecht",1963,2008,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
Viennese Mixture (Wiener Mischung) from the Museum in Progress project Vienna Stripe,G.R.A.M.,"(newspapers published May 21 and 28, 2004)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
"Demonstration des Kollektivs der 'Sans-Papiers' der 'Maison des Ensembles' (Paris), 2001 from the Museum in Progress project TransAct 2 - Linguistic Fields",Bruno Serralongue,"(newspapers published June 19 through June 29, 2002)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
Fluxfilm No. 14: Match and Fluxfilm No. 18: Smoking,"Yoko Ono, Joe Jones",1966,2008,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
"Indiantown, Fl, #17",Bruce Bennet,1990,1990,Purchase,Documents/info664project/moma.csv
Roll Film Holder,Bernard Shea Horne,1916–17,2001,Thomas Walther Collection. Gift of Thomas Walther,Documents/info664project/moma.csv
Untitled,Jack Sal,1982,1983,Gift of Philip J. Fresenius,Documents/info664project/moma.csv
Banquet,Stanislao Lepri,1945,1949,Gift of D. and J. de Menil,Documents/info664project/moma.csv
"David ""Chick"" Chicone, Portland, Maine",Phillip Pisciotta,1999,2005,Gift of the artist,Documents/info664project/moma.csv
Wave Multi-Tool,Benjamin Rivera,2004,2006,"Gift of Leatherman Tool Group, Inc.",Documents/info664project/moma.csv
Untitled,Kamala Ibrahim Ishag,1980/1990,2021,Gift of Marie-Josée and Henry R. Kravis in honor of Jean Pigozzi,Documents/info664project/moma.csv
Textile,"Bossi, Mortara",n.d.,2016,Anonymous gift,Documents/info664project/moma.csv
"The Honeycomb Vase ""Made by Bees"" (Prototype)",Tomáš Gabzdil Libertíny,2006,,Gift of The Aaron and Betty Lee Stern Foundation,Documents/info664project/moma.csv
Una Moziki,Jean Depara,c. 1960,2019,The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,Documents/info664project/moma.csv
Dolphin in Wave,Katerina Lanfranco,2003,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Liquid Assets,"General Idea, Bywater Bros. Editions",1980/2012,2020,Anonymous gift,Documents/info664project/moma.csv
Tumbler and Water Glass,Gianfranco Frattini,1983,1985,Gift of the manufacturer,Documents/info664project/moma.csv
Beyond When the Golden Portal Can Come,Shaun O'Dell,2005,2007,John B. Turner Fund,Documents/info664project/moma.csv
Lounge Chair,Gerald Summers,1934,2000,"Gift of Barbara Jakobson, Robert and Joyce Menschel and the Peter Norton Family Foundation",Documents/info664project/moma.csv
"XXVe Exposition, Salon des Cent",Andrew Kay Womrath,1897,1956,Gift of Ludwig Charell,Documents/info664project/moma.csv
"BARBERINI-BONCOMPAGNI LUDOVISI FAMILY, ROME",Patrick Faigenbaum,1985,1987,The Family of Man Fund,Documents/info664project/moma.csv
Smokers Prefer Shell,Charles G. Shaw,1937,1979,Gift of Dorothy Miller,Documents/info664project/moma.csv
brzrk rbt 8x1001,Chad Ferber,2003,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Grey Flower,José María Sicilia,1987,1989,"Blanchette Hooker Rockefeller, Robert and Meryl Meltzer, and Gerald S. Elliott Funds",Documents/info664project/moma.csv
Centre noir (Black Center),Albert Gleizes,(1921) Published 1922,1944,Purchase,Documents/info664project/moma.csv
"Erechteheion, the Acropolis, Athens",D. Constantin,1860-69,1982,Acquired through the generosity of Lois and Bruce Zenkel,Documents/info664project/moma.csv
The Black Panther Coloring Book (James Teemer),Mark Teemer,1968,2019,"Collection of Patrick and Nesta McQuaid and Akili Tommasino, gift of the Committee on Architecture and Design Funds",Documents/info664project/moma.csv
Tête d'Homme,John Edmonds,2018,2021,Fund for the Twenty-First Century,Documents/info664project/moma.csv
SHIPWRECK,Neumann,1914,1942,Given anonymously,Documents/info664project/moma.csv
Distant View,Shikanosuke Yagaki,c. 1930,1992,Barbara Ferry Hooker Fund,Documents/info664project/moma.csv
"Lantern, Offering on the Water",Midorikawa Yoichi,c. 1950,1959,Gift of Nihon Keizai Shimbun,Documents/info664project/moma.csv
"Untitled from 21 Printmakers from Colombia, Mexico and Venezuela (21 Estampadores de Colombia, Mexico y Venezuela)",Manuel Espinoza,1972,1973,"Gift of Cartón y Papel de México, S.A",Documents/info664project/moma.csv
DSB,Helge Refn,1979,1980,Gift of DSB (Danish State Railway),Documents/info664project/moma.csv
Tumblers,Robert Meyers,1968,1968,"Gift of Bonniers, Inc.",Documents/info664project/moma.csv
Untitled,John Brook,1956,1960,Purchase,Documents/info664project/moma.csv
O Superman,Laurie Anderson,1981,1982,Gift of Warner Bros. Records,Documents/info664project/moma.csv
Charlestown 69,Carl Chiarenza,1976,1991,The Family of Man Fund,Documents/info664project/moma.csv
"Plaza Cubierta, Universidad Central de Venezuela, Caracas, Venezuela","Leonardo Finotti, Carlos Raúl Villanueva",2014,2015,Gift of Michelle Jean de Castro,Documents/info664project/moma.csv
"Stal'noi stroi. Stikhi, 1921-1922",Georgii Noskov,1923,2001,Gift of The Judith Rothschild Foundation,Documents/info664project/moma.csv
"But The Men of Dignity Conspire Against Oppression (Pero los hombres dignos conspiran contra la opresion), plate 13 from Franco's Spain (Las Espana de Franco)",Luis Arenal,-1938,1943,Inter-American Fund,Documents/info664project/moma.csv
Ornamental Composition (Dekorative Komposition),Alexander Olbricht,unknown,1942,Given anonymously,Documents/info664project/moma.csv
A-POC Queen Textile,"Issey Miyake, Fujiwara Dai",1997,2005,Gift of Miyake Design Studio,Documents/info664project/moma.csv
"Corinne from L'Estampe moderne, no. 1",Maurice Réalier-Dumas,1897,1958,Gift of Mr. and Mrs. E. Powis Jones,Documents/info664project/moma.csv
Untitled (for Parkett no. 59),Maurizio Cattelan,2000,2001,Virginia Cowles Schroth Fund,Documents/info664project/moma.csv
Münchner Konzert Mai 1974,"Selten Gehörte Musik, Dieter Roth, Gerhard Rühm, Oswald Wiener",1975,2013,Committee on Prints and Illustrated Books Fund,Documents/info664project/moma.csv
Vase,"Louis Comfort Tiffany, Tiffany Studios, New York, NY",c. 1900,1957,Phyllis B. Lambert Fund,Documents/info664project/moma.csv
"Plate 11 from Futurists, Abstractionists, Dadaists: the Forerunners of the Avant-Garde, vol. I",Joseph Lacasse,1962,1967,Gift of Peter Deitsch Gallery,Documents/info664project/moma.csv
"Vegetables, Seward County, Seward, Nebraska",Ronald R. Geibert,1980,1985,Purchase,Documents/info664project/moma.csv
"Unbound plate from BOÎTE ALERTE, Missives Lascives from EXPOSITION INTERNATIONALE DU SURRÉALISME",Maréchal,-1959,1969,Purchase,Documents/info664project/moma.csv
"Décollage Musique ""Kleenex,"" Paralelle Aufführungen Neuster Musik, Kunsthandel Monet, Amsterdam, October 5, 1962",Wolf Vostell,1962,,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
Kreml'. Stikhi,B. Zhukov,1934,2001,Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),Documents/info664project/moma.csv
STREET SCENE,Manuel Manilla,1878,1956,Given anonymously,Documents/info664project/moma.csv
backseat horoskop from the Museum in Progress project The Standard Museum,Julie Ryan,"(newspaper published June 26/27, 2004)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
Germán List Arzubide,Germán Cueto,c. 1923,2021,Latin American and Caribbean Fund,Documents/info664project/moma.csv
Creneau\uk: atmostphere architects / allpopstarswelcome,Creneau UK,2002,2013,Committee on Prints and Illustrated Books Fund,Documents/info664project/moma.csv
"Design for an Aboriginal Ballet, II",William H. Constable,-1939,1941,Mrs. Simon Guggenheim Fund,Documents/info664project/moma.csv
Chair (model 248),Clement Meadmore,1963,1967,Gift of David Whitney,Documents/info664project/moma.csv
Eagle,Edward Dwurnik,1985,1992,Gift of the Kosciuszko Foundation,Documents/info664project/moma.csv
Mechanical for False Food Selection Label,"Claes Oldenburg, George Maciunas",ca. 1966,2008,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
"Oceanus Procellarum (plate, folio 5) from Lunar Transformations",Len Gittleman,1972,1973,Gift of Robert Wolf,Documents/info664project/moma.csv
Inside It's Bright; Outside It's Dark,James Fitton,1941,1943,Gift of G. E. Kidder Smith,Documents/info664project/moma.csv
Jetzt Lamp,Axel Schmid,2009,2010,Gift of the manufacturer,Documents/info664project/moma.csv
(Untitled) (Boy on a Split Rail Fence),Robert S. Redfield,c. 1890,1985,Agnes Gund Fund,Documents/info664project/moma.csv
High Efficiency Gas Turbine II,Panamarenko,1969,1973,Joseph G. Mayer Foundation Fund in memory of René d'Harnoncourt,Documents/info664project/moma.csv
"Study with Singing Children (Studienblatt mit singenden Kindern) (plate, folio 11) from the periodical Der Bildermann, vol. 1, no. 5 (June 1916)",Heinrich Zille,1916,1952,Gift of Mrs. Bertha M. Slattery,Documents/info664project/moma.csv
Neighborhood Champ,Robert Riggs,c. 1930,1940,Gift of Abby Aldrich Rockefeller,Documents/info664project/moma.csv
"Mountain, Navel, Anchors, Table",Jean (Hans) Arp,1925,1936,Purchase,Documents/info664project/moma.csv
Bird's Eye View,Eiichiro Katayama,c. 1950,1959,Gift of Nihon Keizai Shimbun,Documents/info664project/moma.csv
"Palic Building, Caracas, Venezuela (Perspective of east facade [street])",Federico Guillermo Beckhoff,1956,2014,Gift of Bettina Beckhoff,Documents/info664project/moma.csv
New Shoes,David Ireland,1987,1990,Gift of Emily and Jerry Spiegel,Documents/info664project/moma.csv
Traces of Love No. 23,Mario Dyyon,1970,1970,Larry Aldrich Foundation Fund,Documents/info664project/moma.csv
Goodbye Isaac,Lee Hoffman,1975,1981,John B. Turner Fund,Documents/info664project/moma.csv
LifeLite 88 Raised Reflective Pavement Markers,Al Heenan,1960,2006,Gift of Avery Dennison Reflective Products,Documents/info664project/moma.csv
Denkbilder from the Museum in Progress project TransAct: Transnational Activities in the Cultural Field,Cathrin Pichler,"(newspaper published April 27, 2000)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
Black and Blue,Vuyile Voyiya,2005,2007,Gift of the Associates,Documents/info664project/moma.csv
"I Am in Town Again, Sorry",Jonathan Meese,1995,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Eggs,Mario Gabinio,1936,1997,The Family of Man Fund,Documents/info664project/moma.csv
Imperialism and Religion,Mikhail Cheremnykh,late 1920s,1943,Gift of Miss Jessie Rosenfeld,Documents/info664project/moma.csv
Time Running Out,Paul Marcus,1992,1992,Purchase,Documents/info664project/moma.csv
Fragile,Adriana Jadranka Maraž,-1968,1971,Adriane Reggie Fund,Documents/info664project/moma.csv
Portrait of Dr. Victor Heinrich Klinkhardt (III) (Bildnis Dr. Victor Heinrich Klinkhardt [III]) (plate 29) from the illustrated book Deutsche Graphiker der Gegenwart (German Printmakers of Our Time),Ludwig Meidner,1920,,Purchase,Documents/info664project/moma.csv
Study for A Swallow,Paolo Guiotto,1963,1965,John S. Newberry Fund,Documents/info664project/moma.csv
Cityscape,Robert Conover,1957,1958,Gift of the International Graphic Arts Society,Documents/info664project/moma.csv
Stasi City,"Louise Wilson, Jane Wilson",1997,,Gift of David Teiger,Documents/info664project/moma.csv
Passage,Daniel Buren,1972,1974,Purchase,Documents/info664project/moma.csv
Fjord Flatware,Jens H. Quistgaard,1953,2001,Given anonymously,Documents/info664project/moma.csv
Private Newspaper Archive (Privates Zeitungsarchiv) from the Museum in Progress project Gastarbajteri,Ali Gedik,"(newspaper published March 18, 2004)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
KOLARIC from the Museum in Progress project Worlds of Work,Marko Lulic,"(newspapers published June 5 through 24, 2003)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
A Man Looking at Pants on Fulton Street,Dawoud Bey,1985,1991,E.T. Harmax Foundation Fund,Documents/info664project/moma.csv
"""Madame Marie Curie, Co-discoverer of Radium, at the Radium Center of the World""",Norman M. Jeannero/Times World Wide Photos,1921,2001,The New York Times Collection,Documents/info664project/moma.csv
Distance,Jack Barth,1990,1991,Gift of Agnes Gund,Documents/info664project/moma.csv
Untitled from the Museum in Progress project Interventions,Noritoshi Hirakawa,"(newspaper published February 9, 1999)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
Mechanical for Flux Paper Games label,"George Maciunas, Greg Sharits, Paul Sharits, Bob Grimes, Dave Thompson",c. 1966,2008,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
Krabat Jockey,"Aleksander Borgenhov, Geir Eide, Lina Aker, Tom-Arne Solhaug, Fredrik Brodtkorb",2007,2010,Gift of the manufacturer,Documents/info664project/moma.csv
Botanicalls,"Robert Faludi, Kate Hartman, Kati London, Rebecca Bray",2006,2011,Gift of the designers,Documents/info664project/moma.csv
White Anxiety,Gertrude Greene,1943,1959,Gift of Balcomb Greene,Documents/info664project/moma.csv
"Caryatid (Karyatide) (plate, loose leaf) from the periodical Das Kunstblatt, vol. 1, no. 7 (Jul 1917)",Milly Steger,1917,1949,"Transferred from The Museum of Modern Art Library, New York",Documents/info664project/moma.csv
Puteshestvie Charli (Charlie's Travels),"Galina Dmitrievna Chichagova, Olga Dmitrievna Chichagova",1924,2002,Gift of The Judith Rothschild Foundation,Documents/info664project/moma.csv
