Vito," ""Acconci"""," """""," """""," """""," """""," ""Courtyard Design"""," ""1995"""," ""Stamped concrete", steel seating," plantings"""," ""Landscape Design"""," ""na"""," ""Accessible"""," ""Accessible"""," ""Perkins & Will"""," ""Department of Education"""," ""School Construction Authority"""," ""Public School 3"""," ""School"""," ""2100 La Fontaine Avenue"""," ""40.8499755710363"""," ""-73.8922465592622"""," ""Bronx"""," ""NY"""," ""10457-3333"""," ""Belmont"""," ""Bronx"""," ""6"""," ""4 (Burnside Avenue)"""," ""Vito Acconci redesigned the courtyard of P.S. 3 to reflect the architectural elements of the school building. Benches and planters represent the windows and designs in the pavement represent other elements of the school's facade. The result is an enhanced architectural environment wherein", as the artist describes," \""the walls that enclose the children inside become the ground that children walk over and play on"," outside.\"""""," ""Vito Acconci was born in the Bronx and began his career as a poet. In his first work in a visual art context in the late 1960's and early 1970's", the artist used his own body as a subject for photography, film, video, and performance. In the mid 70's, Acconci created audiovisual installations that turned exhibition spaces into community meeting places, and in the 80's he invited viewers to create artwork by activating machinery that erected shelters and signs. He also turned to the creation of furniture and to prototypes of houses and gardens in the late 80's. Most recently, the artist has focused on architecture and landscape design that integrates public and private space. As a group, the Acconci studio designs and builds public projects in parks, city streets," and city buildings."""," """""," ""vacconci.jpg"""," ""vacconci-a.jpg"""," """""," """""," """""," """""," ""0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolando," ""Briseno"""," """""," """""," """""," """""," ""Family Library Table"""," ""1995"""," ""Epoxy enamel", painted steel," cast aluminum"""," ""Architectural Integration"""," ""12' x 40'"""," ""Accessible"""," ""Accessible"""," ""Hellmuth", Obata and Kassabaum," Inc."""," ""Brooklyn Public Library"""," ""Department of General Services"""," ""Cypress Hills Library"""," ""Library"""," ""1197 Sutter Avenue"""," ""40.6724803894758"""," ""-73.8738888502121"""," ""Brooklyn"""," ""NY"""," ""11208-3800"""," ""Ocean Hill"""," ""Brooklyn"""," ""5"""," ""A (Euclid Avenue)"""," ""Rolando Briseno's library gate is the focal point of the overall fence design and", when closed, resembles a bird's-eye view of a library table with a book punctuating the center. Four figures representing a family surround the book," one of whom is seated at a computer monitor. The gate's arabesque is modeled on an aerial view of the building and its form is repeated in the colored tile that extends around the library."""," ""Born in San Antonio Texas", Rolando Briseno received his M.F.A. at Columbia University and is currently living and working in San Antonio. Other public art projects executed by Briseno include a dynamic sculptural installation at the North White Plains Railroad Station, commissioned by MTA Arts For Transit, and Metro North, NYC, as well as a piece commemorating the 300th anniversary of the founding of the city of San Antonio. Briseno's work is included in the collections of major museums such as the Corcoran Gallery of Art, Washington D.C., and the Brooklyn Museum of Art, as well as private collections in Europe, Latin America," and the United States."""," ""When the gate is opened", the book parts and there is a monumental opening offering a haven from the daily hustle of East New York. People of all ages will be drawn into this sanctuary of communication and learning. -- Briseno," 1995"""," ""rbriseno.jpg"""," ""rbriseno-a.jpg"""," ""rbriseno-b.jpg"""," ""rbriseno-c.jpg"""," """""," """""," ""33""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deborah," ""Brown"""," """""," """""," """""," """""," ""The Seasons: Wildlife and Vistas of Fort Tryon and Inwood Hill Parks"""," ""2001"""," ""Mosaic"""," ""Mural"""," ""2' x 100'"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Kliment & Halband"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 178"""," ""School"""," ""1218 Elwood Street"""," ""40.8608589172363"""," ""-73.9288101196289"""," ""New York"""," ""NY"""," ""10040"""," ""Fort George"""," ""Manhattan"""," ""12"""," ""1 (Dyckman Street)"""," ""Deborah Brown's public artwork in P.S. 178 was inspired by the unique resources of Inwood Hill Park and Fort Tyron Park located in the school's neighborhood. These parks represent 40% of the Inwood district land. Inwood Hill Park contains the last tract of original woodland in Manhattan and a vibrant", thriving community of avian creatures, mammals, and reptiles. Brown chose to represent creatures and surrounding scenes from these parks to stimulate an awareness and appreciation of Inwood's natural region in the students, teachers, and parents that compose the P.S. 178 community. Around the top of the cafeteria walls, Brown created a 2' frieze of mosaic artwork. Thirty-two rectangular images of animals and landscapes alternate with twenty-nine circular roundels. In the rectangular framework, vignettes of Inwood Hill Park, Fort Tyron Park, and the Hudson River are juxtaposed with illustrations of the native creatures. The animal and landscape images are organized around the theme of the seasons. The east wall is 'summer,' the west 'winter,' and the south is 'fall' and 'spring.' The circular roundels portray an image of The Cloisters," a neighborhood landmark."""," ""Deborah Brown graduated from Yale University with a BA in 1976 and then continued her education at Indiana University", Bloomington, where she received her MFA in painting. She has exhibited her paintings all over the United States. Brown has also completed a well-loved public mosaic in the Houston Street Subway Station, Manhattan commissioned by the MTA Arts for Transit. New Jersey Transit also commissioned Brown for a mosaic in the Garfield Avenue Station of the Hudson-Bergen Light Rail. In addition, Brown has completed two mosaics in Florida," one in Miami and one in Tallahassee."""," ""\""Through the artwork for P.S. 178", it is my goal to create an identification between the school and the animal and landscape elements that surround it. The presence of such natural resources is remarkable in a densely settled," urban environment and represents one of the most prominent and enduring features of the Inwood community.\"" -- Brown"," 2001"""," ""dbrown-a.jpg"""," ""dbrown-b.jpg"""," ""dbrown-c.jpg"""," ""dbrown-d.jpg"""," """""," """""," ""34""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee," ""Brozgold"""," """""," """""," """""," """""," ""Beacon"""," ""2003"""," ""Stained glass"""," ""Architectural Integration"""," ""na"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Urbahn Architects"""," ""Department of Education"""," ""School Construction Authority"""," ""Public School 66"""," ""School"""," ""845 East 96th Street"""," ""40.6487922668457"""," ""-73.9071044921875"""," ""Brooklyn"""," ""NY"""," ""11236-2105"""," ""Canarsie"""," ""Brooklyn"""," ""17"""," ""L (Rockaway Pkwy - Canarsie)"""," ""Brozgold's large stained-glass window in P.S. 66 features as its central image a beacon radiating light", the symbol adopted by School District 18 and a reference to the history of this seafaring community. A large, colorful diamond containing scenes of life in Canarsie, the local neighborhood, flanks the beacon, and a sprinkling of panels representing flowers, birds, and fish native to the area breaks the symmetry of this design. Brozgold drew from the cultural demographic of the area," using the West African traditions of quilt and vest design in the repeated diamond patterns."""," ""After completing an undergraduate degree at the University of Chicago", Lee Brozgold moved to New York, studying both fine arts at Cooper Union and social work at Hunter College. His career as a social worker is a crucial element in his art, which struggles against Western conventions of the relationship between artist and subject, giving a strong voice to the latter. Brozgold takes a special interest in public art and has been participating in the Percent for Art Program in New York for over a decade. He received commissions for both Liberty-Our Story! Sites for Students Project at Liberty High School in 1998 and The Greenwich Village Murals in 1993. In addition," Brozgold is conducting a nationally based mail art project. Correspondence from this extensive work has been published under a pseudonym in literary magazines through a university press and in online publications."""," ""\""I approach each commission as if it were a puzzle. One of the technical considerations posed by \""Beacon","\"" for example", was how to design an image that would work in conjunction with the very dominating grid that supported the stained glass. Another puzzle (and, for me, a much more interesting one!) was how to fit the work of art into the community-its character, its history and," with \""Beacon","\"" the fact that the schools within the school were based on the three primary colors. There was a crystallizing moment when all these elements came together: it was on a tour of the Canarsie School District #18 when the Arts Coordinator handed me an official report on the District's stationery. The letterhead included a logo of a lighthouse. As soon as I saw it", the rest was easy because the last piece of the puzzle had fallen into place! --Brozgold," 2003"""," ""lbrozgold-a.jpg"""," ""lbrozgold.jpg"""," """""," """""," """""," """""," ""35""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill and Mary," ""Buchen"""," ""Mary"""," ""Buchen"""," """""," """""," ""Sound Playground"""," ""1992"""," ""bronze", concrete," steel"""," ""Architectural Integration"""," ""17'"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Perkins & Will"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 23"""," ""School"""," ""2151 Washington Avenue"""," ""40.8529105782508"""," ""-73.8947517424821"""," ""Bronx"""," ""NY"""," ""10457-2506"""," ""Fordham Heights"""," ""Bronx"""," ""6"""," ""4 (Burnside Avenue)"""," ""The New York Times reported"," \""The five sections of the Sound Playground designed by the Manhattan artists Bill and Mary Buchen add art", music," and architecture to the courtyard of P.S. 23 in the Belmont section of the Bronx.\"" The artists designed the landscaping", seating, and textured paving to create a space where children explore acoustic and visual phenomen. The bronze tables and seats are actually hollow drums for communal music making. Parabolic Bench invites children up an inclined walkway that leads between two large stainless steel dishes, and as children clap their hands or sing, sound waves bounce between the two dishes until they are cut by a wave of the hand. At the 17' tall sculpture, Big EyesBig Ears, children peer into a rotating periscope which shows them a view of the world six feet above their heads, while simultaneously transmitting sounds from a higher level down to their own ears. Echo Chamber invites children to speak into an acoustic sculpture and listen to their voices reverberate through a buried storm drain, forty feet wide, designed to collect rainwater. Across the top of the chainlink fence, small wind bells chime," and the large bells of the carillon on the roof can be programmed to play songs composed by the students and teachers. Sound Playground encourages children to interact with unique sculptures which invite investigation and learning."""," ""Since 1972", Bill Buchen and Mary Buchen have collaborated in the creation of works dealing with the synergy of the sonic and visual arts. Their pursuit has led them to travel throughout the world researching sonic phenomena and making field recordings. In 1996 they completed a second permanent public art work for the New York City schools called Sound Carnival. In addition to numerous shows and exihibitions across the country," their work can be seen at Socrates Sculpture Park in Queens."""," ""This was our first opportunity for free reign in designing all aspects of a playspace thanks to an early start with architects and commissioning agencies. We could tap into their plans for a carillon tower and an underground water tank besides designing the paving", seating, and fence. Our collaboration extended through the realm of contractors, fabricators, teachers, engineers, mudmen, and all the kiddos...so many people that counseled and crafted and played it into being... -- Buchen and Buchen," 1997"""," ""bbuchen.jpg"""," ""bbuchen-a.jpg"""," ""bbuchen-b.jpg"""," ""bbuchen-c.jpg"""," """""," """""," ""36""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill and Mary," ""Buchen"""," ""Mary"""," ""Buchen"""," """""," """""," ""Sound Carnival"""," ""1996"""," ""Bronze", concrete," steel"""," ""Architectural Integration"""," ""Palm Trees: 11' x 4' x 4'"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Montoya-Rodriguez"," P.C."""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 244"""," ""School"""," ""5404 Tilden Avenue"""," ""40.6484404206275"""," ""-73.92592638731"""," ""Brooklyn"""," ""NY"""," ""11203-4608"""," ""East Flatbush"""," ""Brooklyn"""," ""17"""," ""5 (Beverly Road)"""," ""Sound Carnival is a pair of playgrounds designed to help students explore music and the physics of acoustic phenomena. In the early childhood play area", which is located in an interior courtyard away from the street, children communicate through color-coded," steel \""telephone tubes\"" which are inter-connected underground. In the play area for older children", groupings of bronze drums serve a dual purpose of engaging children in communal music making and acting as seats and tables. In one group, or Drum Circle, five Bata drums of Haitian origin and a set of parabolic dishes connect to a large underground chamber. Children hear their voices and drum playing reverberating through grates in the concrete benches and the center of the dishes. In another Drum Circle," conga shaped \""talking drums\"" of Afro-Cuban origin are also connected underground. They are flanked by large parabolic dishes which focus sounds to a central point where children discover their greatly amplified voices. Also located in the playground for older children are a pair of stainless steel \""Palm Trees\"" which are played by slapping the ends of the tuned pipes which form the leaves of the tree. The artists collaborated with the architect on the design of the fence and asphalt of the play area by including stainless steel cut-outs of students' and teachers' hands which are embedded into the asphalt and suspended in the finials of the fence."""," ""Since 1972", Bill Buchen and Mary Buchen have collaborated in the creation of works dealing with the synergy of the sonic and visual arts. Their pursuit has led them to travel throughout the world researching sonic phenomena and making field recordings. In 1992 they completed Sound Playground , a permanent public art work for P.S. 23 in the Bronx. In addition to numerous shows and exhibitions across the country," their work can be seen at Socrates Sculpture Park in Queens. """," """""," ""bbuchen.jpg"""," """""," """""," """""," """""," """""," ""37""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom," ""Burckhardt"""," """""," """""," """""," """""," ""Forward Up"""," ""2009"""," ""Enamel pain on muslin"""," ""Mural"""," ""220\"" diameter circle"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""SVC Inc"""," ""Department of Education"""," ""School Construction Authority"""," ""Public SchoolIS 237"""," ""School"""," ""50 Avenue P"""," ""40.607324168086"""," ""-73.9866261184215"""," ""Brooklyn"""," ""NY"""," ""11204-6105"""," ""Bensonhurst"""," ""Brooklyn"""," ""11"""," ""N (Kings Hway)"""," ""He is the recipient of grants from the Guggenheim Foundation", the Pollock- Krasner Foundation," and the Joan Mitchell Foundation.Forward Up is a ceiling mural depicting an open sky surrounded by school children clambering their way to top of the mountainous abstract shapes."""," ""Tom Burckhardt lives and works in New York City. He received his BFA from SUNY Purchase in 1986 and has had numerous exhibitions in New York and around the United States."""," """""," ""tburckhardt.jpg"""," ""tburckhardt-a.jpg"""," """""," """""," """""," """""," ""38""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dina," ""Bursztyn"""," """""," """""," """""," """""," ""Paths and Stars"""," ""1995"""," ""Ceramics"""," ""Mural"""," ""na"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""School Construction Authority"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 376A"""," ""School"""," ""194 Harman Street"""," ""40.6981648583984"""," ""-73.9201354980469"""," ""Brooklyn"""," ""NY"""," ""11237-4505"""," ""Bushwick"""," ""Brooklyn"""," ""4"""," ""M (Knickerbocker Avenue)"""," ""Paths & Stars consists of thirty-four ceramic panels installed throughout the hallways and various sites on each of the three floors of this school. The panels contain numerous ceramic tiles", each individually constructed and painted by the artist. Many of the images combine mythological and contemporary elements. On each floor, the panels have a unifying theme. Burstzyn states," \""On the first floor", there are references to 'Turtle Island' as this land was called by the Native American, to New York's original fauna and flora, to its original and present inhabitants, to subway tracks, to different paths imprinted in space and time. On the second floor 'The Tree Of Life' sprouts many kinds of beings, blending the differences between faces, and masks, between reality and imagination. On the third floor, next to a big window," three full moons lead the way to the constellations and the Milky Way and invite the viewer to consider a hopscotch that jumps into infinity.\"""""," ""Dina Bursztyn", originally from Argentina, is a New York-based artist and educator. She has executed several public art pieces, including: Cosmic Turtle, sponsored by the Prospect Park Alliance, Telepathic Mailbox commissioned by the Public Art Fund, and Gargoyles to Scare Developers sponsored by the Urban Homesteading Assistance Board. Her sculptures as well as her artist's books and prints are exhibited regularly here and abroad, most recently at Hostos Community College, Ceres Gallery, Center for Book Arts, Art in General, and Ex Gallery (Tokyo," Japan)."""," ""There is a loose narration that runs through the thirty-four images. On the first floor I wanted to convey a sense of location", memories of Native America crisscrossing present time; on the second floor the tree of life celebrates diversity; and on the third we are in the cosmos, contemplating infinite possibilities. -- Bursztyn," 1996"""," ""dbursztyn.jpg"""," """""," """""," """""," """""," """""," ""39""",,,,,,,,,,,,,,,,,,,,,,,,,,
Scott," ""Burton"""," """""," """""," """""," """""," ""Design Team Project"""," ""1994"""," ""Steel", wood," mixed media"""," ""Sculpture"""," ""na"""," ""Accessible"""," ""Accessible"""," ""Michael J. Koenen"""," ""Economic Development Corporation"""," ""na"""," ""Sheepshead Bay Fishing Piers"""," ""Parks & Recreation"""," ""Emmons Avenue"""," ""40.5838012695312"""," ""-73.9460754394531"""," """""," ""NY"""," """""," ""Sheepshead Bay"""," ""Brooklyn"""," ""8"""," ""B"," Q (Sheepshead Bay)"""," ""Art Commission Award for Excellence in Design", 1990.  Scott Burton's refurbishment of the Sheepshead Bay Fishing Piers provides modern amenities while maintaining the historic character of the seventy-year-old piers. Burton framed the entry to each pier with lights and a perforated steel bench. At the end of each pier, the artist constructed a wooden ottoman and a second perforated steel bench to provide a quiet space to enjoy the water traffic and the view. The ottomans also serve as bases for 34 foot (10.4 m) high poles that fly wind-vanes shaped into colorful numbers to identify each pier. The wind-vanes are visible from Emmons Avenue and the elevated roadway of the Shore Parkway," three blocks away. Burton said of his work: \""My greatest challenge with [the project] was to discover how my contribution as an artist would fit into this very practical and down-to-earth setting.\"""""," ""Born in Greensboro", Alabama, Scott Burton received his B.A. from Columbia University and his M.A. from New York University. Burton had over 30 solo exhibitions and performances and dozens of group exhibitions nationally and internationally, including exhibitions at the Tate Gallery in London and the Boymans van Beuningen Museum in Rotterdam. His work is in numerous permanent collections including the Museum of Modern Art and the National Gallery of Art. In addition to the Sheepshead Bay project," he also worked as a team member on the design of the plaza for the World Financial Center at Battery Park City. Burton died in 1989."""," """""," ""sburton.jpg"""," ""sburton-a.jpg"""," ""sburton-b.jpg"""," """""," """""," """""," ""40""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca," ""Buvoli"""," """""," """""," """""," """""," ""The Big Wave- Not-a-Superhero in the Ocean of Language"""," ""2004"""," ""Polycarbonate sheets (Lexan)"," Fiberglass Polyester Resin"""," ""Mural"""," ""9'6\"" x 23'"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Urbahn Associates"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 253"""," ""School"""," ""1307 Central Avenue"""," ""40.6072273254394"""," ""-73.7488098144531"""," ""New York"""," ""NY"""," ""11691-3908"""," ""Far Rockaway"""," ""Queens"""," ""14"""," ""A (Far Rockaway - Mott Avenue)"""," ""Luca Buvoli applied his relief The Big Wave to a curvilinear wall in the atrium of the elementary school", which complements the artwork's imagery of a large blue undulating wave. The artwork is conceived as a visually powerful and playful image that simultaneously addresses current social and identity issues by referring to the culturally complex geography of the borough of Queens. As a model for the school children from diverse ethnic groups, the oceans and seas replace nations and continents, therefore transforming state borders into fluid linguistic, cultural and social heritages to be commonly shared. Within the wave, many words appear to float in different directions and angles. Names of seas and oceans from different areas of the world," for example \""Red","\"" \""Caspian","\"" and \""Pacific","\"" serve as a metaphor of openness and exchange between diverse geographical areas", languages, cultures, and ecosystems of the world. Additional words refer to concepts related to the experience of immigration and beginning a new life taken, in part," from the artist's personal experience of having moved to a new country. Words such as \""Absence","\"" \""Drifting","\"" \""Imagination","\"" \""Temporal","\"" and \""Without Language\"" reflect the state of initial displacement and vulnerability that we may experience in the process of adjusting to a new reality. A small sequence in the blue mass represents the movement of a character named Not-a-Superhero", floating in and flying swiftly above the wave. Not-a-Superhero evokes superhero mythologies similar to the ones that children are exposed to through television, comic books, and toys. However, unlike the violent characters sometimes presented by mass media," Not-a-Superhero suggests the lightness and vulnerability in the human experience."""," ""Luca Buvoli was born in Brescia", Italy. He received his BFA from the Academy of Fine Arts in Venice then, after coming to the United States in 1988, continued his studies in New York, earning an MFA at the School of Visual Art. Buvoli has exhibited and lectured internationally. In 2003 he was awarded the public commission for the William P. Hobby Airport in Houston, Texas. Much of his recent work derives from fantasies and explorations of flight and flying. The character, Not-a-Superhero, created in 1992, is the protagonist of Buvoli's ongoing series of artwork in diverse formats such as sculpture, books, and animated films that have been exhibited in museums, galleries," and public places worldwide."""," ""\""Some of these words and names of seas may be difficult to read at first", because they play freely outside traditional notions of geography: hopefully, they will evoke curiosity, and years after the child's first exposure to them," they will unveil a more complex dimension of the dream and reality of a multicultural society.\""- Luca Buvoli"""," ""lbuvoli.jpg"""," ""lbuvoli-a.jpg"""," ""lbuvoli-b.jpg"""," """""," """""," """""," ""41""",,,,,,,,,,,,,,
Carole," ""Byard"""," """""," """""," """""," """""," ""First in the Heart is the Dream"""," ""1996"""," ""Ceramic tile murals and Terrazzo Floor"""," ""Architectural Integration"""," ""Ceramic tiles: 16\"" x 48\"""," 24\"" x 32\""","8\"" x 16\"""," 16\"" x 16\"""""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Robert Coles Architect"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 233"""," ""School"""," ""9301 Avenue B"""," ""40.6516304016113"""," ""-73.9142684936523"""," ""Brooklyn"""," ""NY"""," ""11236-1117"""," ""Canarsie"""," ""Brooklyn"""," ""17"""," ""L (Rockaway Pkwy - Canarsie)"""," ""In the main lobby of P.S. 233", also known as the Langston Hughes School, Carol Byard installed three ceramic murals and a terrazzo floor inspired by Langston Hughes' poem Freedom's Plow. The theme of the murals are creativity, growth, aspirations, and dreams, and depict students participating in the arts and sciences. The colors of the terrazzo floor signify the earth, sky," and the sea. The floor contains brass symbols of the sun and moving water amidst text from the poem."""," ""Carol Byard is a sculptor", teacher, and an award winning illustrator of childrens' books. She has received several fellowships and awards from the NEA, New York State Council for the Arts," and the Gottlieb Foundation. She has taught at Parsons School of Design and at the Baltimore School for the Arts."""," ""Public Art? What a challenge. To create art designed for a particular community", a particular space, a space that already has its own beat, flavor, theme, rhyme, reason, history, and use. And when I enter, who am I? Artist as teacher, as artist, as designer, as researcher, as priestess, as artist, as healer, as artist as kin. -- Byard," 1997"""," ""cbyard.jpg"""," """""," """""," """""," """""," """""," ""42""",,,,,,,,,,,,,,,,,,,,,,
Ingrid," ""Calame"""," """""," """""," """""," """""," ""#180 Working Drawing"""," ""2005"""," ""Colored pencil on trace mylar"""," ""Drawing"""," ""88 x 136 inches"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Perkins Eastman Architects"""," ""Office of Chief Medical Examiner"""," ""Dormitory Authority of the State of New York"""," ""Office of the Chief Medical Examiner"""," ""Municipal Building"""," ""421 East 26th St"""," ""40.738642"""," ""-73.976665"""," ""New York"""," ""NY"""," ""10016-9161"""," ""Kips Bay"""," ""Manhattan"""," ""6"""," ""6 (Lexington Avenue)"""," ""Throughout her career", Ingrid Calame has generated ideas for her paintings through a close examination of the world around her, using detritus left by people in passing as her source material.  She focuses her gaze on the left-over and often overlooked � stains on a sidewalk, graffiti on a riverbank, tire skid marks on a roadway.  After tracing the shapes of these discarded marks, Calame uses this representational and yet not necessarily recognizable information to generate abstractions.  She refers to this process as a �representation of loss,� resulting in paintings that function in part as landscapes or historical referents to the forgotten, disregarded or unobserved.  Calame transcends the documentary aspect of her source material in the creation of formal compositions that engage in layering and fragmentation," softening the movement from line to shape."""," ""Ingrid Calame was born in 1965 in the Bronx", New York. She received her BFA from the State University of New York at Purchase and her MFA in Art and Film from the California Institute of the Arts in Valencia, California.  Calame's work has been the subject of solo exhibitions at the Albright-Knox Art Gallery, Buffalo; the Indianapolis Museum of Art, Indianapolis; Institute of Contemporary Art Philadelphia, Philadelphia; Museum of Contemporary Art Cleveland, Cleveland, OH; Monterey Museum of Art in Monterey, CA; Art Gallery of Ontario, Toronto; and Kunstverein Hannover, Hannover, Germany.Calame's work is included in the permanent collections of several prestigious museums including the Albright-Knox Art Gallery, Buffalo; Indianapolis Museum of Art, Indianapolis; Los Angeles Museum of Contemporary Art, Los Angeles; The Museum of Fine Arts, Houston; Whitney Museum of American Art, New York; The Museum of Modern Art, New York; and the Kunstmuseum St. Gallen, Switzerland. Her works are also included in various private collections, including the Maramotti Collection, Bologna, Italy; the Goetz Collection, Munich, Germany; and the Jumex Collection, Mexico City, Mexico. Ingrid Calame lives and works in Los Angeles," CA."""," """""," ""icalame.jpg"""," """""," """""," """""," """""," """""," ""43""",,,,,,,,,,,,,,,,,,,,
Luisa," ""Caldwell"""," """""," """""," """""," """""," ""Thought Bubbles: Earth", Sky," Sun & Universe"""," ""2008"""," ""World globes", soccer balls, mirror balls, fruit stickers, UV varnish, steel," aluminum"""," ""Sculpture"""," ""9' x 5' x 5' each"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Bostwick Purcell Architects"," AIA"""," ""Department of Education"""," ""School Construction Authority"""," ""Public School 244"""," ""School"""," ""137-20 Franklin Avenue"""," ""40.754478"""," ""-73.826225"""," ""Flushing"""," ""NY"""," ""11355-3871"""," ""Flushing"""," ""Queens"""," ""7"""," ""7 (Flushing - Main Street)"""," ""Thought Bubbles are three sculptures that are suspended from a 25ft tall barrel vaulted ceiling. The three sculptures are made of world globes", soccer balls and mirror balls overlaid with patterns made from fruit stickers. They are held together by aluminum rods mounted to a central steel shaft. Color coded, they respectively represent the earth, the sky and the sun and universe. Globes, soccer balls and mirror balls represent global unity, learning and reflection. Apropos," they hang in a public school library."""," ""Luisa Caldwell has exhibited nationally and internationally. Venues include Florence Lynch Gallery in NYC", CCNOA in Brussels, Swarovski in Paris. Caldwell was artist in residence at SculptreCenter in 1999. She was recently awarded an MTA Arts for Transit commission and will be exhibiting at MassMoca in fall of 2009. She has been reviewed by The New York Times, ArtNews, Art in America among other publications. Caldwell works and resides in Brooklyn," NY."""," ""\""What I dream of is an art of balance", of purity and serenity," devoid of troubling or depressing subject matter.\"" -Henri Matisse�"""," ""lcaldwell.jpg"""," ""lcaldwell.jpg"""," ""lcaldwell-a.jpg"""," ""lcaldwell-b.jpg"""," ""lcaldwell-c.jpg"""," """""," ""44""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierluigi," ""Calignano"""," """""," """""," """""," """""," ""The invisible Book"""," ""2015"""," ""Mirror"," Stanless Steel"""," """""," """""," """""," """""," """""," ""Department of Education"""," ""School Construction Authority"""," ""PS / IS 437"""," ""School"""," ""701 Canton Avenue"""," """""," """""," ""Brooklyn"""," ""NY"""," ""11218"""," """""," ""Brooklyn"""," """""," ""G (Fort HamiltonPkwy)"""," ""The Invisible Book is an Installation that tells a story open and always changing. The story develops in real time and is in?nite", made up of countless events and characters. Every page of the book displays a simple set of forms, part re?ective, part transparent. Every person or object close to it, gets re?ected and at the same time moves through it. Everyone passing by the installation becomes part of the story of the book. They grow, they learn, live their life and relate to others within the in?nite narration of the book. The Invisible Book is a game that transforms people, their bodies superimpose on its pages, creating an endless game of roles and identities. Each person playing with it interacts with others, discovering new relations in a continuous network of dialogue, transformation and exchange. Every page of the book itself casts both shadows and re?ects light," these change constantly with the movement of the sun. The passing of time generates an in?nite combination of re?ections and shadows onto the ground around it. The Invisible Book is a modular structure composed of several transparent panels with geometrically shaped mirrors on both sides. The way users interact with the structure leads to an exchange of perception between two or more persons. By facing the panels from different sides the structure triggers a unique perceptional game for each user."""," """""," """""," ""pcalignano-c.jpg"""," ""pcalignano-b.jpg"""," ""pcalignano-a.jpg"""," """""," """""," """""," ""45""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
