title,artist,created,date,creditline
Alexander Lyman Holley,John Ward,1889,1890,"Gift of The American Society of Mechanical Engineers (ASME); The Institute of Mining, Metallurgical and Petroleum Engineers (AIME); and the American Society of Civil Engineers (ASCE)"
Bronx River Soldier,John Grignola,1890,1970,Gift of John B. Lazzarri
Henry Ward Beecher Monument,John Ward,1890,1891,Gift of The Beecher Statue Fund
Horace Greeley,John Ward,1890,1916,Gift of Tribune Association
Lafayette and Washington,Frederic Bartholdi,1890,1900,Gift of Charles Broadway Rouss
Nathan Hale,Frederick MacMonnies,1890,1893,Gift of Sons of the Revolution of New York State
Brigadier General Winfield Scott Hancock,James MacDonald,1891,1891,"Gift of Veterans of Hancock Post, Number 259"
James S.T. Stranahan,Frederick MacMonnies,1891,1891,Gifted through public subscription from the citizens of Brooklyn
Samuel Sullivan Cox,Louise Lawson,1891,1891,Gift of United States Letter Carriers
Albert Bertel Thorvaldsen,Albert Thorvaldsen,1892,1894,Gift of Danish Residents
Christopher Columbus,Jeronimo Sunol,1892,1894,Gift of the New Yorkers of the New York Genealogical Society
Columbus Monument,Gaetano Russo,1892,1892,"Gift of Italian Americans led by Carlo Barsotti, publisher of Il Progreso Italo Americano"
Declaration of Independence Marker,NULL NULL,1892,1892,Gift of the Sons of the Revolution
Horace Greeley,Alexander Doyle,1892,1894,Gift of New York Typographical Union No. 6
Soldiers and Sailors Memorial Arch,Philip Martiny,1892,1892,Commissioned by The City of Brooklyn
General Gouverneur Kemble Warren,Henry Baerer,1893,1896,"Gift of The G.K. Warren Post, Department of New York"
Roscoe Conkling,John Ward,1893,1893,Gift of Roscoe Conkling's Friends
Vanderbilt Gates,NULL NULL,1893,1939,Gift of Mrs. Gertrude Vanderbilt Whitney
Abraham Lincoln,Thomas Eakins,1894,1901,Gift of The Citizens of Brooklyn
Hooper Fountain,NULL NULL,1894,1894,Gift of John Hooper
Ludwig Van Beethoven,Henry Baerer,1894,1894,Gift of The United Singers of Brooklyn
Peter Cooper,Augustus Saint-Gaudens,1894,1897,Gift of Peter Cooper Memorial Committee
Ulysses S. Grant,Thomas Eakins,1894,1901,Gifted by The City of Brooklyn
Jacob H. Schiff Fountain,Arnold Brunner,1895,1895,Gift of Jacob H. Schiff
James Gordon Bennett Memorial,Antonin Carlès,1895,1895,Gift of New York University (1928)
Maryland Memorial,NULL NULL,1895,1895,"Gift of Maryland Society, Sons of the American Revolution"
Washington Square Arch,Frederick MacMonnies,1895,1895,Gift of the Washington Arch Committee
Abraham De Peyster,George Bissell,1896,1896,Gift of John Watts De Peyster
Soldiers and Sailors Monument,Frederick Ruckstull,1896,1896,Gift of Soldiers and Sailors Memorial Association
Ulysses Simpson Grant,William Partridge,1896,1896,Gift of The Union League Club of Brooklyn
Chinese Tablet,NULL NULL,1897,1897,Gift of Li-Hung Chang
Mozart,Augustus Mueller,1897,1897,Gift of United German Singers of Brooklyn
Chester Alan Arthur,George Bissell,1898,1899,Gift of Friends of Chester Alan Arthur
Panthers,Alexander Proctor,1898,1898,Commissioned by The City of Brooklyn
Quadriga: the Triumphal Progress of Columbia,Frederick MacMonnies,1898,1898,Commissioned by The City of Brooklyn
Richard Morris Hunt Memorial,Daniel French,1898,1898,Gift of the Art Societies of New York
The Horse Tamers,Frederick MacMonnies,1898,1899,Commissioned by The City of Brooklyn
John Wolfe Ambrose,"Andrew O'Connor, Jr.",1899,1936,Gift of Mrs. George F.Shrady
Lioness and Cubs,Victor Peters (von Pieters),1899,1899,Gift of Frederick W. MacMonnies
The Army: Genius of Patriotism Urging American Soldiers On To Victory,Frederick MacMonnies,1900,1900,Commissioned by The City of Brooklyn
Fort Washington Memorial,NULL NULL,1901,1901,Gift of James Gordon Bennett and the Empire State Society of the Sons of the American Revolution
Four Eagles,Frederick MacMonnies,1901,1901,Commissioned by The City of Brooklyn
Provost Prison,NULL NULL,1901,1901,Gifted by the Daughters of the American Revolution
The Navy: American Sailors At Sea Urged On By the Genius of Patriotism,Frederick MacMonnies,1901,1901,Commissioned by The City of Brooklyn
General Edward Fowler,Henry Baerer,1902,1902,Gift of The City of Brooklyn
General Josiah Porter,William Noble,1902,1902,Gift of New York State National Guard Association
Soldiers and Sailors Monument,Paul DuBoy,1902,1902,Gift by Act of the New York State legislature
William Tecumseh Sherman,Augustus Saint-Gaudens,1902,1903,Gift of the Citizens of New York under the auspices of the Chamber of Commerce of the State of New York
Henry W. Maxwell Memorial,Augustus Saint-Gaudens,1903,1903,Gift of Friends of Henry W. Maxwell
John Ericsson Memorial,Jonathan Hartley,1903,1903,Commissioned by The City of New York
Mary Lindley Murray,NULL NULL,1903,1903,"Gift of Knickerbocker Chapter, Daughters of the American Revolution"
Fort Tryon Memorial,NULL NULL,1904,1904,Gift of C.K.G. Billings and the American Scenic and Historic Preservation Society
Blockhouse,John Williams,1905,1905,Gift of The Women's Auxiliary to the American Scenic and Preservation Society
Dr. Alexander J.C. Skene,John Rhind,1905,1905,Gift of The Skene Monument Committee
Fountain of Life,Carl Tefft,1905,1905,Purchase
General Henry Warner Slocum,Frederick MacMonnies,1905,1905,Commissioned by The City of Brooklyn
Grand Central Stones,NULL NULL,1905,1905,Erected by New York Central Railroad
Louis J. Heintz Memorial,Pierre Feitu,1905,1909,Gift of the Louis J. Heintz Memorial Association
Algernon Sidney Sullivan,Jonathan Hartley,1906,1906,Gift of the Algernon Sidney Sullivan Memorial Committee
Call of the Sea,Harriet Fishmuth,1924,1936,Gift of Mrs. Walter V. Cranford. Purchased from  Grand Central Art Galleries.
Chief Nimham Memorial,NULL NULL,1906,1906,"Gift of Daughters of the American Revolution, Bronx Chapter"
George Washington at Valley Forge,Henry Shrady,1906,1906,Gift of James R. Howe
Giuseppe Verdi,Pasquale Civiletti,1906,1906,Gift of Resident Italians
McGown's Pass Cannons,NULL NULL,1906,1906,Gift of the Children of the City History Club of New York
Robert Ray Hamilton Fountain,NULL NULL,1906,1906,Gift of Robert Ray Hamilton
Slocum Disaster Memorial,Bruno Zimm,1906,1906,Gift of Sympathetic Society of German Ladies
General Franz Sigel,Karl Bitter,1907,1907,Gift of Sigel Monument Association
Fort Greene Eagles,Adolph Weinman,1908,1908,"Gift of The United States Government, The State of New York, New York City, and private contributions"
Macombs Dam Park Fountain,Martin Schenck,1908,1908,Commissioned by the Department of Parks and Recreation
Prison Ship Martyrs Monument,Adolph Weinman,1908,1908,"Gift of The United States Government, The State of New York, New York City, and private contributions"
Edith G. Bowdoin ASPCA Horse Trough,NULL NULL,1909,1909,Gift of Edith G. Bowdoin
Giovanni da Verrazzano,Ettore Ximenes,1909,1909,Gift of Charles Barsotti via public subscription
Harlem Heights First Line of Defense,NULL NULL,1909,1909,"Gift of the Washington Heights Chapter, Daughters of the American Revolution"
Von Weber Memorial,Chester Beach,1909,1909,Gift of United German Singers of Brooklyn
American Redout Marker,NULL NULL,1910,1910,"Gift of the Daughters of the American Revolution, Fort Washington Chapter"
Woman's Health Protective Association,Bruno Zimm,1910,1910,Gift of Woman's Health Protective Association
Cyrus Clark,Henry Brown,1911,1911,Gift of the West End Association
William Cullen Bryant,Herbert Adams,1911,1911,Gift of the William Cullen Bryant Memorial Committee
Edith G. Bowdoin ASPCA Horse Trough,NULL NULL,1912,1912,Gift of Edith Bowdoin
Eleventh Milestone Marker,NULL NULL,1912,1912,Gift of the City History Club of New York
Firemen's Memorial,Attilio Piccirilli,1912,1913,Gift of Public Subscription and commissioned by the City of New York
Wireless Operators Memorial,NULL NULL,1913,1915,Gift of Veteran Wireless Operators Association
Battery Park Cannon,NULL NULL,1914,1914,Gift of William Henry Mairs; Children of the City History Club
The Majesty of the Law,George Snowden,1932,1934,Purchased with Works Progress Administration Funds
Japanese Cherry Tree Tablet,NULL Tokyo Fine Arts School,1912,1912,Gifted by The Japanese residents of the City of New York
John Purroy Mitchel Memorial Flagstaff (2),NULL NULL,1912,1912,Gift of the Mitchel Memorial Committee
Josephine Shaw Lowell,NULL NULL,1912,1912,Gift of The Josephine Shaw Lowell Memorial Committee
"New Hampshire, U.S.S.",NULL NULL,1912,1912,"Gift of the Men of The U.S.S. ""New Hampshire"""
U.S.S. Maine National Monument,Attilio Piccirilli,1912,1913,Gift of National Maine Monument Fund
Carl Schurz Memorial,Karl Bitter,1913,1913,Gift of The Carl Schurz Memorial Association
Jerry McAuley Drinking Fountain,NULL NULL,1913,1913,Gifted by McAuley Committee of the New York City Rescue Mission
John T. Brush Stairway,NULL NULL,1913,1913,Gift of the  New York Giants baseball team
Bear and Faun,Edgar Walter,1914,1914,Gift of National Highways Protective Association
Edvard Grieg Memorial,Sigvald Asbjornsen,1914,1914,Gift of The Norwegian Societies of Brooklyn
Fort Number Four Tablet,NULL NULL,1914,1914,Gift of Daughters of the American Revolution
Eugene G. Putnam,Virgil Fuller,1915,1915,Gifted by pupils of P.S. 20
Isidor and Ida Straus,Augustus Lukeman,1915,1915,Gift of Public Subscription
Joan of Arc Memorial,Anna Huntington,1915,1915,Gift of The Joan of Arc Statue Committee
Joseph Rodman Drake,NULL NULL,1915,1915,Gift of the Bronx Society of Arts and Sciences
Major Clarence T. Barrett Memorial,Sherry Fry,1915,1915,"Gift of Julia Olivia Hardin, trustee for Anna E. Hutchins Barrett"
Fort Hamilton D.A.R. Tablet,NULL NULL,1916,1916,Gift of The Daughters of the American Revolution
Fort Independence Park Tablet,NULL NULL,1916,1916,Gift of Daughters of the American Revolution
George Washington Accompanied by Fame and Valor,Hermon MacNeil,1916,1916,Gift of Washington Arch Committee
Pulitzer Fountain,Karl Bitter,1916,1916,Gift of the Joseph Pulitzer Estate
Star of Hope,NULL NULL,1916,1916,Gift of Minnie Dwight Rouland Trust Fund
The Hiker,Allen Newman,1916,1916,Gifted through Public Subscription
General Daniel Butterfield,Gutzon Borglum,1917,1918,Gift of Estate of Julia L. Butterfield
Lafayette Memorial,Daniel French,1917,1917,Gift of Henry Harteau
Milestone Park tablet,NULL NULL,1917,1917,Gift of Mr. & Mrs. Townsend Cortelyou Van Pelt
George Washington Accompanied by Wisdom and Justice,Alexander Calder,1918,1918,Gift of Washington Arch Committee
Boy Scout's Tablet,NULL NULL,1919,1919,Gift of the Prospect Heights District Council Boy Scouts of America
Bushwick-Ridgewood Memorial,Pietro Montana,1919,1921,Gift of The Bushwick-Ridgewood Monument Committee
Bushwick-Ridgewood Memorial,Pietro Montana,1919,1922,Gift of Bushwick-Ridgewood Citizens
John Merven Carrère,NULL NULL,1919,1919,Gifted by The Committee on Memorial to John Merven Carrere
McLaughlin Park World War I Memorial,NULL NULL,1919,1919,Gift of The Seawanhaka Democratic Club
Simón Bolívar,Sally Farnham,1919,1921,Gift of the Venezuelan Government
Spanish War Memorial,Charles Keck,1919,1919,Gift of Public Subscription
Theodore Roosevelt Tablet,NULL NULL,1919,1919,Gift of the Prospect Heights District Council Boy Scouts of America
Bronx Local Board #2 World War Memorial,NULL NULL,1920,1921,Gift of Citizens Patriotic Committee of Local Board No. 2.
Bushwick War Memorial,NULL NULL,1920,1920,Gift of the American Legion
Carroll Park Memorial,Eugene Morahan,1920,1921,Gift of Eighth Assembly District Memorial Committee
Dreyfus Plaque,Francis Muller,1920,1921,Commissioned by The City of New York
Sugar Loaf Rock Plaque,NULL NULL,1920,1920,Gift of Dr. Louis and Berta E. Dreyfus
Egbertville World War Memorial,NULL NULL,1920,1920,Gifted by the People of Egbertville
Fort Hamilton War Memorial,NULL NULL,1920,1920,Gift of Citizens of Fort Hamilton
Hero Park Memorial Plaque,NULL NULL,1920,1920,Gift of Dr. Louis and Berta E. Dreyfus
Hero Park World War Honor Roll Plaque,NULL NULL,1920,1920,Gift of Dr. Louis and Berta E. Dreyfus
Hollis World War Memorial,NULL NULL,1920,1920,NULL
Ridgewood Memorial,Anton Schaaf,1920,1920,Gift of Gold Star Mothers
Sgt. Charles W. Heisser,NULL NULL,1920,1920,"Gift of The Charles W. Heisser Post No. 179, American Legion"
Staten Island War Memorial,Albert Weinert,1920,1920,Gift of the Staten Island Community Council of National Defense and citizens of Staten Island
Washington Square Memorial Flagstaff,NULL NULL,1920,1920,Gift of Washington Square Association
William T. Stead Memorial,George Frampton,1920,1920,Gift of the Committee of the American Stead Memorial
Abingdon Square Doughboy,Philip Martiny,1921,1921,Gift of the Jefferson Democratic Club
Baisley Pond Park Memorial,James Walsh,1921,1921,Gift of local citizens
Blazed and Willowbrook Roads Tablet,NULL NULL,1921,1921,"Gift of Daughters of the American Revolution, Staten Island Chapter"
Chelsea Park Memorial,Philip Martiny,1921,1921,Gift of the Chelsea Memorial Committee
Dante Alighieri,Ettore Ximenes,1921,1921,Gifts of Citizens of Italian Descent / Gift of Comitato Nazionale Italiano
Glendale War Memorial,Anton Schaaf,1921,1921,Gift of People of Glendale
Kissena Park World War I Monument,Anthony Grande,1921,1921,Gift of Flushing United Association
Liberty Flagstaff,Albert Weinert,1921,1921,Gift of the Sons of the Revolution and the New York Historical Society
The Roses of Yesterday,Harriet Frishmuth,1923,1937,Gift of Mrs. Walter V. Cranford
McNally Plaza Memorial,NULL NULL,1921,1921,"Gift of McNally Post 263, American Legion"
Prospect Park War Memorial,Augustus Lukeman,1921,1921,Gift of William H. Todd
Rose and Crown Tavern Marker,NULL NULL,1921,1921,Gift of Richmond County D.A.R.
Saratoga Park Memorial,James Novelli,1921,1921,Gift of The Citizens Memorial Committee Districts 31 and 32
Alfred Tredway White Memorial,Daniel French,1922,1923,Gift of The Hawkins Family and Friends
Dongan Oak Marker,Frederick Ruckstull,1922,1922,Gift of the St. Nicholas Society of New York (original marker); Prospect Park Alliance ( second replacement eagle and plinth)
Dongan Oak Marker,Frederick Ruckstull,1922,1922,Gift of the St. Nicholas Society of New York (original marker); Prospect Park Alliance ( second replacement eagle and plinth)
Woodside Doughboy,Burt Johnson,1923,1923,Gift of Woodside Community Council
Sixty First District Memorial,Charles Keck,1922,1922,Gift of The Citizens Memorial Association of Draft Board 61
Washington Heights-Inwood War Memorial,Gertrude Whitney,1922,1922,Gift of Washington Heights & Inwood Memorial Association
Greenpoint War Memorial,Carl Heber,1923,1923,Gift of The Greenpoint Memorial Association of New York City
Highbridge World War I Memorial,NULL NULL,1923,1923,Gift of Highbridge Regular Democratic Club
Morris Park World War Memorial,H. Adler,1923,1923,"Gift of Lt. F.J. McConnell Post No. 229, Gift of Veterans of Foreign Wars (plaque)"
Pleasant Plains Memorial,George Brewster,1923,1923,Gift of Citizens of the Fifth Ward (original); City of New York (replacement)
Randolph St. George Walker Jr.,NULL NULL,1923,1923,"Gift of Randolph Walker Jr. Post #1056, American Legion"
Seventh Draft Board,Charles Stoughton,1923,1923,Gift of Seventh Draft Board of the Bronx
Dawn of Glory,Pietro Montana,1924,1924,Gift of Kings County Chapter of the American Legion
Eternal Light Flagstaff,Paul Bartlett,1924,1924,Gift of Rodman Wanamaker
Unionport Memorial,John Boyd,1924,1924,Gift of The Allied Organizations of Unionport
Walloon Settlers Memorial,NULL NULL,1924,1924,Gift of the Conseil Provincial du Hainaut (Belgium)
307th Infantry Memorial Grove,NULL NULL,1925,1925,Gift of 307th Infantry Post- American Legion
Balto,Frederick Roth,1925,1925,"Gift of The ""Balto Monument Committee"""
Bronx Victory Memorial,Jerome Connor,1925,1925,Gift of Bronx Victory Memorial Association
Charles and Murray Gordon,NULL NULL,1925,1925,"Gift of Charles and Murray Gordon Post No. 130, Jewish War Veterans of the United States of America"
Flushing Memorial,Herman MacNeil,1925,1925,Gift of Flushing Memorial Association
The Song of Achievement,Adolph Weinman,1932,1934,Purchased with Works Progress Administration Funds
Fort Stirling Marker,Albert Winert,1925,1925,"Gift of Fort Greene Chapter, Daughters of the American Revolution"
Hennessy Park World War I Flagstaff,NULL NULL,1925,1925,Gift of Veterans of Foreign Wars Post No. 1938
Lieutenant Colonel Isaac Barre,Paul Cabaret,1925,1925,"Gift of Ellen H. Walworth Chapter, Daughters of the American Revolution"
Richmond Hill Flagstaff,NULL NULL,1925,1925,NULL
Richmond Hill War Memorial,Joseph Pollia,1925,1925,Gift of Richmond Hill War Committee and Gold Star Mothers Association of Richmond Hill
The Watering Place,NULL NULL,1925,1925,Gift of Richmond County Daughters of the American Revolution
Theodore Roosevelt,James Fraser,1925,1925,Gifted by The United Spanish War Veterans of Brooklyn
Frank L. Dowling,NULL NULL,1926,1926,Gift of Horatio Seymour Tammany Club
General Kazimierz Pulaski,NULL NULL,1926,1926,Gift of Polish American Citizens of Richmond County
Westchester Square Memorial,John Oakman,1925,1925,Gift of people of Westchester
Woodlawn Heights War Memorial,NULL NULL,1925,1925,Gift of Woodlawn Heights Taxpayers & Community Association
Zion Park War Memorial,Charles Rumsey,1925,1925,"Gift of The Citizens' Memorial Committee of The American Legion, Veterans of Foreign Wars, and Jewish Veterans of the Wars of the Republic, from Local Boards 82 and 88"
Astoria Park War Memorial,Gaetano Cecere,1926,1926,Gift of Long Island City Memorial Association
Burnett Memorial Fountain,Bessie Potter Vonnoh,1926,1936,Gift of the Frances Hodgson Burnett Memorial Committee
Christopher Columbus,Attilio Piccirilli,1926,1926,Part of a Department of Parks & Recreation renovation project
City Employees War Memorial,Georg Lober,1926,1926,Gift of Mrs. Charles Augustine Robinson
Discus Thrower,Konstantinos Dimitriadis,1926,1926,Gift of Mr. and Mrs. Ery Kehaya
Frank J. Goodwin,NULL NULL,1926,1926,Gift of Horatio Seymour Tammany Club
Independence Flagstaff,Anthony de Francisci,1926,1930,Gift of Tammany Society
John Purroy Mitchel,Adolph Weinman,1926,1928,Gifted by The Mitchel Memorial Committee
Netherland Monument,H.A. Van den Eyden,1926,1926,Gift of the People of the Netherlands
One Hundred Seventh Infantry Memorial,Karl Illava,1926,1927,Gift of 7th Regiment and 107th Infantry Memorial Committee
Samuel J. Tilden,William Partridge,1926,1926,Gift of the Samuel J. Tilden Estate
Van Nest Memorial,NULL NULL,1926,1926,Gift of Van Nest Citizens Patriotic League
William Jay Gaynor Memorial,Adolph Weinman,1926,1926,Gift of The Gaynor Memorial Association
Winfield Memorial,James Novelli,1926,1926,Gift of Winfield Honor Roll Association
Clason Point World War I Memorial,James Novelli,1927,1928,Gift of Citizens War Memorial Committee of Clason Point
Clinton War Memorial,Burt Johnson,1927,1929,Gift of Clinton District Monument Association
Firemen's Horse Memorial,NULL NULL,1927,1927,Gift of the American Society for the Prevention of Cruelty of Animals
Louis Kossuth Monument,János Horvay,1927,1928,Gift of the Kossuth Memorial Committee
Rockaway Veterans Memorial,Joseph Pollia,1927,1927,Gift of Rockaway Beach Memorial Committee
Victor Herbert,Edmond Quinn,1927,1927,"Gift of the American Society of Composers, Authors and Publishers"
Andrew Haswell Green,John Van Pelt,1928,1928,Gift of The Andrew H. Green Memorial Association
Peter Pan,Charles Hafner,1928,1975,Gift of Hugh Adams of the Salute to the Seasons Fund
S. Rankin Drew,NULL NULL,1928,1928,Gift of The American Legion
Battle Pass Historic Marker,NULL NULL,1929,1929,"Gift of Battle Pass Chapter, Daughters of the American Revolution"
Brookland Ferry Landing,NULL NULL,1929,1929,Gift of The Brooklyn Bridge Plaza Association
Spirit of Progress,Adolph Weinman,1932,1934,Purchased with Works Progress Administration Funds
Corporal George J. Wellbrock Memorial,NULL NULL,1929,1929,Gift of Oxford Civic Association
Four Chimneys,NULL NULL,1929,1929,"Gift of The Long Island State Society, Daughters of the American Revolution"
Gertie A. Gorman Memorial,C. Weimer,1929,1929,Gift of Gertie Emily Gorman Webb and Charles Webb
Upland Park Memorial,Anthony Grande,1929,1929,Gift of James C. Van Siclen
College Point War Memorial,NULL NULL,1930,1930,Gift of American Legion Association
Jenkins Fountain,Isabel Kimball,1930,1930,Gift of Alfred W. Jenkins
Joseph A. Guider,Romeo Frassanito,1930,1930,Gift of The Joseph A. Guider Memorial Committee
Laurel Hill Flagstaff,NULL NULL,1930,1930,Gift of Citizens of Laurel Hill
Sullivan's Attack,NULL NULL,1930,1930,"Gift of Daughters of the American Revolution, Staten Island Chapter"
William E. Kelly,L.N. Anderson,1930,1930,Gifted Through Public Subscription
Bailey Fountain,Eugene Savage,1931,1932,Gift of Frank and Mary Louise Bailey
Dover Patrol Monument,NULL NULL,1931,1931,Gifted through English Public Subscription
Maspeth Memorial,NULL NULL,1931,1931,Gift of Maspeth Memorial Committee
"Riverdale, Spuytenduyvil, Kingsbridge Memorial Bell Tower",NULL NULL,1931,1931,Gift of Public Subscription
Sergeant Joyce Kilmer,NULL NULL,1931,1931,Gift of The Catholic Writers Guild and The Davey Tree Expert Organization
American Boy,Louis Saint-Lanne,1932,1932,Gift of wife and children of Isaac L. Rice
Daniel D. Tompkins,Allen Newman,1932,1932,Gift of the Richmond Borough George Washington Bicentennial Commission
Genius of Administration,Edward Sanford,1932,1934,Purchased with Works Progress Administration Funds
Isham Park Benches,NULL NULL,1932,1932,Donated by Julia Isham Taylor
Johann Wolfgang Von Goethe,Karl Fischer,1932,1932,Gift of Goethe Society of America
"Loyalty, Valor and Sacrifice",Joseph Kiselewski,1932,1934,Purchased with Works Progress Administration Funds
Triumph of Government,Edward Sanford,1932,1934,Purchased with Works Progress Administration Funds
Triumph of Justice,George Snowden,1932,1934,Purchased with Works Progress Administration Funds
"Victory, Peace and Love of County",Joseph Kiselewski,1932,1934,Purchased with Works Progress Administration Funds
Waldo Hutchins Memorial,Paul Manship,1932,1932,Gift of August S. Hutchins
Washington Kill Von Kull Monument,NULL NULL,1932,1932,Gift of the Staten Island Chapter of the Daughters of the American Revolution
Wilbur E. Colyer Square,NULL NULL,1932,1932,Gift of American Legion & Community Citizens
Bronx County Building Frieze (30 panels),Charles Keck,1933,1934,Purchased with Works Progress Administration Funds
Bronx Victory Memorial,Belle Kinney,1933,1933,Gift of Public Subscription
Captain Roald Amundsen Plaque,NULL NULL,1933,1933,Gifted by the Norsemen Glee Club of Staten Island; Norwegian Singing Society of Brooklyn
Private Michael J. Lynch,NULL NULL,1933,1933,"Gift of Michael Lynch Post No. 831, Veterans of Foreign Wars"
Corporal Louis Zimmerman,NULL NULL,1934,1934,Gift of Residents of New York City
Corporal William Leonard Square,NULL NULL,1934,1934,Gift of American Legion Post 422
Fiorello H. La Guardia,Jo Davidson,1934,1957,LaGuardia Memorial Association
General George Washington Tablet,NULL NULL,1934,1934,"Gift of Daughters of the American Revolution, Matinecock Chapter"
Gerald MacDonald,Frederic De Henwood,1934,1934,"Gift of Forest Hills Post, No. 620, American Legion"
Marie Sklodowska Curie,NULL NULL,1934,1934,Gift of American Polish Children
Paul Rainey Memorial Gate,Paul Manship,1934,1934,Gift of Mrs. Grace Rainey Rogers
African Antelopes,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Alben Square Flagstaff,NULL NULL,1935,1935,"Gift of Bud H. Alben Post No. 1436, Veterans of Foreign Wars of the United States"
American Antelopes,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Baboon and Mandrill,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Bayside Civil War Boulder,NULL NULL,1935,1935,Gift of Bayside Historical Society
Caribou,Carl Mose,1935,1935,Purchased with T.E.R.A. Funds
"Cheetah, Leopard and Puma",Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Chimpanzee,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Cockatoos and Ara,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Cormorants,Emil Siebern,1935,1935,Purchased with T.E.R.A. Funds
Deer,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Eagles and Vultures,Emil Siebern,1935,1935,Purchased with T.E.R.A. Funds
Flushing World War Memorial,NULL NULL,1935,1935,Gift of Flushing Memorial Association
Fort Tryon Park Tablet,NULL NULL,1935,1935,Gift of John D. Rockefeller Jr.
