artist,title,date,location
Leo Villareal,Hive (Bleecker Street) ,2012, Bleecker St (6) & Broadway-Lafayette St (B/D/F/M)
James Garvey,Lariat Tapers ,2011, Wall St (4/5)
Antenna Design New York,Bloemendaal ,2010, 96 St (1/2/3)
Doug & Mike Starn,"See it split, see it change ",2009, South Ferry (1)
Sol LeWitt,Whirls and twirls (MTA) ,2009, 59 St-Columbus Circle (1/A/B/C/D)
Jane Dickson,Revelers ,2008, Times Sq-42 St (1/2/3/7/N/Q/R/W/S)
Robert Blackburn,In Everything There Is A Season ,2005, 116 St (6)
Jack Beal,The Return of Spring/The Onset of Winter ,2005, Times Sq-42 St (1/2/3/7/N/Q/R/W/S)
Toby Buonagurio,Times Square Times: 35 Times ,2005, Times Sq-42 St (1/2/3/7/N/Q/R/W/S)
Robert Kushner,4 Seasons Seasoned ,2004, 77 St (6)
Peter Sis,Happy City ,2004, 86 St (4/5/6)
Al Held,Passing Through ,2004, Lexington Av/53 St (E/M)
Ming Fay,"Shad Crossing, Delancey Orchard ",2004, Delancey St (F) & Essex St (J/M/Z)
Janet Zweig and Edward del Rosario,Carrying On ,2004, Prince St (R/W)
Raúl Colón,Primavera ,2003, 191 St (1)
Valerie Maynard,Polyrhythmics of Consciousness and Light ,2003, 125 St (4/5/6)
Lisa Dinhofer,Losing my Marbles ,2003, 42 St-Port Authority Bus Terminal (A/C/E)
Robert Hickman,Laced Canopy ,2002, 72 St (1/2/3)
Max Neuhaus,Times Square ,2002, Times Sq–Broadway/46 Street
Roy Lichtenstein,Times Square Mural ,2002, Times Sq-42 St (1/2/3/7/N/Q/R/W/S)
Samm Kunce,Times Square Under Bryant Park ,2002, 42 St-Bryant Pk (B/D/F/M)
Keith Godard,Memories of Twenty-Third Street ,2002, 23 St (R/W)
Mark Hadjipateras,City Dwellers (for Costas and Maro) ,2002, 28 St (R/W)
Timothy Snell,Broadway Diary ,2002, 8 St-NYU (R/W)
Nancy Spero,"Artemis, Acrobats, Divas and Dancers ",2001, 66 St-Lincoln Center (1)
Eric Fischl,The Garden of Circus Delights ,2001, 34 St-Penn Station (A/C/E)
Walter Martin and Paloma Muñoz,A Gathering ,2001, Canal St (A/C/E)
Tom Otterness,Life Underground ,2001, 14 St (A/C/E/L)
Jacob Lawrence,New York in Transit ,2001, Times Sq-42 St (1/2/3/7/N/Q/R/W/S)
Frank Giorgini,Passages ,2000, Whitehall St (R/W)
Frederick Dana Marsh,Marine Grill Murals , 1913 / 2000 / 2011 , Fulton St (2/3/4/5/A/C/J/Z)
Arts for Transit Collaborative,For Want of a Nail ,2000, 81 St-Museum of Natural History (B/C)
Christopher Sproat,V-Beam ,2000, Grand Central-42 St (4/5/6/7/S)
Vincent Smith,"Minton’s Playhouse (uptown), The Movers and Shakers (downtown) ",1999, 116 St (2/3)
Sheila Levrant de Bretteville,At the Start… At Long Last ,1999, Inwood-207 St (A)
Elizabeth Grajales,When the animals speak… ,1998, 34 St-Penn Station (1/2/3)
Maren Hassinger,Message from Malcolm ,1998, Central Park North (110 St) (2/3)
Andrew Ginzel & Kristin Jones,Oculus ,1998, Chambers St (A/C) & Park Pl (2/3)
Mary Miss,Framing Union Square ,1998, 14 St-Union Sq (4/5/6/L/N/Q/R/W)
Bing Lee,Empress Voyage 2.22.1794 ,1998, Canal St (6/N/Q/R/W/J/Z)
James Garvey,Lariat Seat Loops ,1997, 33 St (6)
Mel Chin,Signal ,1997, Broadway-Lafayette St (B/D/F/M) & Bleecker St (6)
Ann Schaumburger,Urban Oasis ,1997, 5 Av/59 St (N/R/W)
Margie Hughto,"Trade, Treasure and Travel ",1997, Cortlandt St (R/W)
Manuel Vega,Sábado en la Ciento Diez (Saturday on 110th Street) ,1996, 110 St (6)
Faith Ringgold,Flying Home: Harlem Heroes and Heroines (Downtown and Uptown) ,1996, 125 St (2/3)
Elizabeth Murray,Blooming ,1996, 59 St (4/5/6) & Lexington Av/59 St (N/R/W)
Mark Gibian,Cable Crossing ,1996, Brooklyn Bridge-City Hall (4/5/6) & Chambers St (J/Z)
Christopher Janney,"Reach New York, An Urban Musical Instrument ",1996, 34 St-Herald Sq (B/D/F/M/N/Q/R/W)
Willie Birch,Harlem Timeline ,1995, 135 St (2/3)
Ralph Fasanella,Subway Riders ,1995, 5 Av/53 St (E/M)
Deborah Brown,Platform Diving ,1994, Houston St (1)
Lee Brozgol,The Greenwich Village Murals ,1994, Christopher St-Sheridan Sq (1)
Liliana Porter,Alice: The Way Out ,1994, 50 St (1)
Laura Bradley,City Suite ,1994, 96 St (6)
Josh Scharf,Carnegie Hall Montage ,1994, 57 St-7 Av (N/Q/R/W)
David Provan,Yab-Yum ,1992, 34 St-Herald Sq (B/D/F/M/N/Q/R/W)
R. M. Fischer,Brooklyn-Battery Tunnel Clock ,1992, Hugh L. Carey Tunnel
Michelle Greene,Railrider’s Throne ,1991, 116 St-Columbia University (1)
Norman B. Colp,The Commuter's Lament or A Close Shave ,1991, Times Sq-42 St (1/2/3/7/N/Q/R/W/S)
Michele Oka Doner,Radiant Site ,1991, 34 St-Herald Sq (B/D/F/M/N/Q/R/W)
Nicholas Pearson,Halo ,1991, 34 St-Herald Sq (B/D/F/M/N/Q/R/W)
Nitza Tufiño,Neo-Boriken ,1990, 103 St (6)
Harry Roseman,Subway Wall ,1990, Wall St (2/3)
Dan Sinclair,Fast Track and Speedwheels ,1990, Grand Central-42 St (4/5/6/7/S)
Nitza Tufiño,Westside Views ,1989, 86 St (1)
Matt Mullican,Untitled ,1989, 50 St (C/E)
Valerie Jaudon,Long Division ,1988, 23 St (6)
Nina Yankowitz,Tunnel Vision ,1988, 51 St (6) & Lexington Av/53 St (E/M)
Steve Wood,Fossils ,1988, 137 St-City College (1)
Nancy Holt,Astral Grating ,1987, Fulton St (2/3/4/5/A/C/J/Z)
Milton Glaser,Untitled ,1986, Astor Pl (6)
Houston Conwill,The Open Secret ,1986, 125 St (4/5/6)
Marcel Dzama,No Less Than Everything Comes Together ,2021, Bedford Av (L)
María Berrío,There Is Magic Underneath It All ,2019, Fort Hamilton Pkwy (N)
Andrea Dezsö,Nature Wall ,2019, New Utrecht Av (N)
Emilio Perez,Fluxus / Rhythmus ,2019, 18 Av (N)
David Storey,Sea City Spin ,2019, 20 Av (N)
Olalekan Jeyifous,Made With Love ,2019, 8 Av (N)
Eamon Ore-Giron,People's Instinctive Travels: Homage to the Tribe ,2019, Bay Pkwy (N)
Kambui Olujimi,Where the Sky Begins ,2018, Avenue I (F)
Julien Gardair,We are each others ,2018, 18 Av & Kings Hwy (F)
Jackie Battenfield,Tree Canopy ,2018, Avenue P (F)
Andrea Belag,Brooklyn Transitions ,2018, Avenue U (F)
Lisa Sigal,Push/Pull ,2018, Avenue N (F)
Leslie Wayne,Neptune's Garden ,2018, Bay Pkwy (F)
Karen Margolis,Cerebration ,2018, 86 St (N)
Sally Gil,Edges of a South Brooklyn Sky ,2018, Avenue U (N)
Nancy Baker,Chandelier / Ailthanus ,2017, Saratoga Av & Sutter Av-Rutland Rd (3)
Béatrice Lebreton,Wisdom Along the Way ,2017, Rockaway Av (3)
Saya Woolfalk,Urban Garden Rail ,2017, Pennsylvania Av & Van Siclen Av (3)
Mickalene Thomas,Untitled ,2017, 53 St (R)
Derek Lerner,AVEX1-6(station) ,2017, Avenue X (F)
Monika Bravo,Duration ,2017, Prospect Av (R)
Katy Fischer,Strata ,2017, Bay Ridge Av (R)
Cara Lynch,Inheritance: In Memory of American Glass ,2016, Ditmas Av (F)
Alyson Shotz,Nautical Charts – Gowanus & Red Hook from 1733-1922; Fathom Points + Compass Bearings ,2013, Smith-9 St (F/G)
George Bates,Generation Dynamica ,2013, Central Av (M)
Cal Lane,The Digs ,2013, Knickerbocker Av (M)
Amy Cheng,Rediscovery ,2012, 25 Av (D)
Andrea Dezsö,Nature Rail , 2012 / 2019 , 62 St (D)
Joan Linder,The Flora of Bensonhurst ,2012, 71 St (D)
Portia Munson,Gardens of Fort Hamilton Parkway Station ,2012, Fort Hamilton Pkwy (D)
Odili Donald Odita,Kaleidoscope ,2012, 20 Av (D)
Christopher Russell,Bees for Sunset Park ,2012, 9 Av (D)
Francesco Simeti,Bensonhurst Gardens ,2012, 18 Av (D)
Xin Song,Tree Of Life ,2012, Bay Pkwy (D)
Susanna Starr,A Continuous Thread ,2012, 79 St (D)
Dan Zeller,Internal Connectivity ,2012, Bay 50 St (D)
Ed Kopel,Brooklyn Bucolic ,2012, Avenue H (B/Q)
Rita MacDonald,Bird Laid Bare ,2011, Avenue J & Avenue M (B/Q)
Jason Middlebrook,Brooklyn Seeds ,2011, Avenue U (B/Q)
Mary Temple,"West Wall, East Light, Morning ",2011, Neck Rd (B/Q)
Amy Bennett,Heydays , 2011 / 2021 , 86 St (R)
Deborah Masters,Coney Island Reliefs ,2010, Ocean Pkwy (Q)
Ben Snead,Departures and Arrivals ,2009, Jay St-MetroTech (A/C/F/R)
Bill Brand,Masstransiscope ,2008, DeKalb Av (B/Q/R)
Sol'Sax,SOL'SCRYPT ,2008, Halsey St (J/Z)
Amy Cheng,Las Flores ,2007, Cleveland St (J)
Barbara Ellmann,The View from Here ,2007, Van Siclen Av (J/Z)
Jung Hyang Kim,Wheel of Bloom-Soak up the Sun ,2007, Crescent St (J/Z)
Margaret Lanzetta,Culture Swirl ,2007, Norwood Av (J/Z)
Scott Redden,Untitled ,2007, Alabama Av (J)
Michael Ingui,Crescendo ,2007, E 105 St (L)
Takayo Noda,The Habitat for the Yellow Bird ,2007, Sutter Av (L)
Eugenie Tung,16 Windows ,2007, New Lots Av (L)
Philemona Williamson,Seasons ,2007, Livonia Av (L)
Robin Holder,Migration ,2006, Flushing Av (J/M)
Cadence Giersbach,From Earth to Sky ,2006, Myrtle-Wyckoff Avs (L)
Stephen Johnson,DeKalb Improvisation ,2005, DeKalb Av (B/Q/R)
Vito Acconci (Acconci Studio),Wavewall ,2005, W 8 St-NY Aquarium (F/Q)
Arts for Transit Collaborative,New York City Architectural Artifacts from the Collection of the Brooklyn Museum ,2004, Eastern Pkwy-Brooklyn Museum (2/3)
George Trakas,"Hook (Archean Reach), Line (Sea House), and Sinker (Mined Swell) ",2004, Atlantic Av-Barclays Ctr (2/3/4/5/B/D/N/Q/R)
Hugo Consuegra,Good Morning and Good Night ,2004, Crown Hts-Utica Av (3/4)
Robert Wilson,My Coney Island Baby ,2004, Coney Island-Stillwell Av (D/F/N/Q)
Michael Krondl,Looking Up ,2004, Neptune Av (F)
Ellsworth Ausby,Space Odyssey ,2004, Marcy Av (J/M/Z)
Ron Calloway,Euphorbias ,2002, Kosciuszko St (J)
Annette Davidek,Roundlet Series ,2002, Lorimer St (J/M)
Mara Held,El in 16 Notes ,2002, Hewes St (J/M)
Maria Dominguez,El Views ,2002, Chauncey St (J/Z)
Chris Wade Robinson,Dream Train ,2002, Gates Av (J/Z)
Louis Delsarte,Transitions ,2001, Church Av (2/5)
Al Loving,"Brooklyn, New Morning ",2001, Broadway Jct (A/C/J/L/Z)
Jackie Chang,Signs of Life ,2000, Metropolitan Av (G)
Dan George,Mermade/Dionysus and the Pirates ,1999, Brighton Beach (B/Q)
Eric Pryor,Life and Continued Growth ,1999, Franklin Av (C/S)
Verna Hart,Jammin’ Under the EL ,1999, Myrtle Av (J/M/Z)
Isha Shabaka,Units of the Free ,1999, Park Pl (S)
Millie Burns,IL7/Square ,1999, Botanic Garden (S)
DeBorah Goletz,Postcards from Sheepshead Bay ,1998, Sheepshead Bay (B/Q)
Owen Smith,"An Underground Movement: Designers, Builders, Riders ",1998, 36 St (D/N/R)
Anton van Dalen,Work & Nature ,1997, Nevins St (2/3/4/5)
Muriel Castanis,Flatbush Floogies ,1996, Flatbush Av-Brooklyn College (2/5)
Jimmy James Greene,Children’s Cathedral ,1996, Utica Av (A/C)
Jane Greengold,Wings for the IRT: The Irresistible Romance of Travel ,1995, Grand Army Plaza (2/3)
Susan Tunick,Brighton Clay Re-Leaf Nos. 1-4 ,1994, Parkside Av & Prospect Park (B/Q/S)
Patsy Norvell,Garden Stops ,1994, Beverley Rd & Cortelyou Rd (Q)
Emmett Wigglesworth,CommUnion ,1994, Union St (R)
Kathleen McCarthy,Five Points of Observation ,1990, Cypress Hills (J/Z)
David Wilson,Transit Skylight ,1988, Newkirk Plaza (B/Q)
Ray Ring,Clark Street Passage ,1987, Clark St (2/3)
Rhoda Andors,Kings Highway Hieroglyphs ,1987, Kings Hwy (B/Q)
Amy Pryor,Day Into Night Into Day ,2021, 138 St-Grand Concourse (4/5)
Rico Gatson,Beacons ,2018, 167 St (B/D)
Roy Secord,Bronx Seasons Everchanging ,2018, 174-175 Sts (B/D)
Jaime Arredondo,Garden of Earthly Delights ,2015, Zerega Av (6)
Priscila De Carvalho,"Bronx: Heart, Homeland ",2015, Castle Hill Av (6)
Amanda Schachter & Alexander Levi,Cross-Bronx Waterway ,2015, Middletown Rd (6)
Soonae Tark,Have a Happy Day ,2015, Buhre Av (6)
Luisa Caldwell,Station Villa ,2011, E 180 St (2/5)
William Low,A Day in Parkchester ,2011, Parkchester (6)
Alison Moritsugu,"Community (Acer rubrum, Rosa palustris, Smilax rotundifolia, Carya cordiformis) ",2011, St. Lawrence Av (6)
Jean Whitesavage & Nick Lyle,Bronx Trees ,2011, Elder Av (6)
Alfredo Ceibal,Permanent Residents and Visitors ,2010, Wakefield-241 St (2/5)
Maria Cristalli & Marc Brown,The Land Between Two Waters ,2010, Morrison Av-Soundview (6)
Barbara Grygutis,Bronx River View ,2010, Whitlock Av (6)
George Crespo,Latin American Stories ,2009, Jackson Av (2/5)
Lisa Amowitz,Urban Renewal ,2008, Simpson St (2/5)
Laura Battle,How to get to the moon… ,2008, Burnside Av (4)
Felipe Galindo,Magic Realism in Kingsbridge ,2008, 231 St (1)
Corinne Grondahl,Metromorphosis/Birth of a Station ,2008, Mosholu Pkwy (4)
José Ortiz,Many Trails ,2008, 183 St (4)
Marina Tsersarskaya,Bronx. Four Seasons ,2008, Prospect Av (2/5)
Tomie Arai,Back to the Garden ,2007, Pelham Pkwy (2/5)
Daniel Hauben,The El ,2007, Freeman St (2/5)
Mario M. Muller,Urban Motif ,2007, Kingsbridge Rd (4)
Carol Sun,A Bronx Reflection ,2007, 167 St (4)
Candida Alvarez,B is for Birds in the Bronx ,2006, Bronx Park East (2/5)
Andrea Arroyo,"My Sun (Mi Sol), My Planet (Mi Planeta) and My City (Mi Ciudad) ",2006, Gun Hill Rd (2/5)
Amir Bey,The Procession of Folk #3 ,2006, Mt Eden Av (4)
Michele Brody,Allerton Mandalas ,2006, Allerton Av (2/5)
Dina Bursztyn,Views from Above ,2006, 170 St (4)
Noel Copeland,Leaf of Life ,2006, Nereid Av (2/5)
Béatrice Coron,Bronx Literature ,2006, Burke Av (2/5)
Joseph D’Alesandro,Homage ,2006, 219 St (2/5)
Andrea Dezsö,Community Garden ,2006, Bedford Park Blvd-Lehman College (4)
Nicky Enright,Universal City ,2006, 225 St (2/5)
Skowman Hastanan,A Secret Garden: There's No Place Like Home ,2006, 233 St (2/5)
Juan Sánchez,Reaching Out For Each Other ,2006, 176 St (4)
Josie Gonzalez Albright,Children at Play ,2005, Woodlawn Av (4)
Moses Ros,"Patriasana, Wholesomeland ",2005, Fordham Rd (4)
Naomi Campbell,Animal Tracks ,2004, West Farms Sq–E Tremont Av (2/5)
Daniel del Valle,A Trip Up the Bronx River ,2004, 174 St (2/5)
Vito Acconci (Acconci Studio),Wall-Slide ,2002, 161 St–Yankee Stadium (B/D/4)
Helene Brandt,Room of Tranquility ,2002, 161 St–Yankee Stadium (B/D/4)
Frank Leslie Hampton,Uptown New York ,2000, Tremont Av (B/D)
José Ortega,"Una Raza, Un Mundo, Universo (One Race, One World, One Universe) ",1996, 3 Av-149 St (2/5)
Romare Bearden,Untitled (“City of Light”) ,1993, Westchester Sq–E Tremont Av (6) 
Michael Kelly  Williams,El 2 and El 5 ,1992, Intervale Av (2/5)
Jeffrey Gibson,I AM A RAINBOW TOO ,2020, Astoria Blvd (N/W)
Diane Carr,Outlook ,2018, Broadway (N/W)
Elisabeth Condon,Urban Idyll ,2018, Astoria-Ditmars Blvd (N/W)
Maureen McQuillan,Crystal Blue Persuasion ,2018, 36 Av (N/W)
Sarah Morris,Hellion Equilibrium ,2018, 39 Av-Dutch Kills (N/W)
Stephen Westfall,Perasma I & II; Dappleganger ,2018, 30 Av (N/W)
Linda Ganjian,Home Sweet Home ,2016, 111 St (A)
Mia Pearlman,Soar ,2016, 80 St (A)
Béatrice Coron,On the Right Track ,2015, 104 St (A)
Ray King,Connections ,2015, Rockaway Blvd (A)
Haresh Lalvani,MORPHINGS88 ,2015, 88 St (A)
Laura F. Gibellini,Dom (Variations) ,2013," Seneca Av, Forest Av & Fresh Pond Rd (M)"
Tricia Keightley,Hunters Point Avenue Project ,2012, Hunters Point Av (7)
Ingo Fast,On and Off the Boardwalk ,2011, Beach 67 St (A)
Callie Hirsch,Vast ,2011, Beach 105 St (A/S)
Simon Levenson,The Beaches of New York City ,2011, Beach 60 St (A)
Mauricio Lopez,Past/Present/Future ,2011, Beach 25 St (A)
Michael Miller,Surf Station 90 ,2011, Beach 90 St (A/S)
George Bates,Symphonic Convergence 1&2 ,2011, Beach 36 St (A)
Jill Parisi,Coom Barooom ,2011, Beach 44 St (A)
Duke Riley,Be Good or Be Gone ,2011, Beach 98 St (A/S)
Jason Rohlf,Respite ,2011, Far Rockaway-Mott Av (A)
K.K. Kozik,First on the Beach and Wednesday Night Fireworks ,2008, Rockaway Park-Beach 116 St (A/S)
Ellen Harvey,"Look Up, Not Down ",2005, Queens Plaza (E/M/R)
Tom Patti,Passage ,2004, Jackson Hts-Roosevelt Av & 74 St-Broadway (E/F/M/R/7)
Elizabeth Murray,Stream ,2001, Court Sq-23 St (E/M/G/7)
Sydney Cash,Columns ,2000, Queensboro Plaza (N/W/7)
Dimitri Gerakaris,Woodside Continuum ,1999, Woodside-61 St (7)
Yumi Heo,Q is for Queens ,1999," 33 St, 40 St, 46 St & Flushing-Main St (7)"
Ik-Joong Kang,Happy World ,1999, Flushing-Main St (7)
Pablo Tauler,In Memory of the Lost Battalion ,1996, Woodhaven Blvd (M/R)
Frank Olt,Temple Quad Reliefs ,1992, 23 St & Court Sq (E/M/G/7)
Sam Gilliam,"Jamaica Center Station Riders, Blue ",1991, Jamaica Ctr/Parsons-Archer (E/J/Z)
Kathleen McCarthy,Five Points of Observation ,1990," 104 St, 111 St, 75 St & Woodhaven Blvd (J/Z)"
John Cavanagh,Commuting/Community ,1986, Woodside-61 St (7)
Everet,A portrayal of life at mill creek,2018,staten island
Jenna Lucente,"Tottenville Sun, Tottenville Sky",2017,staten island
Yayoi Kusama,A message of love,2022,grand central
Kiki Smith,River Light,2022,grand central
James Little,Radiant Memories,2020,
Derrick Adams ,Around the Way,2019,
James Gulliver Hancock,Connection,2018,
Dan Funderburgh,SHOAL,2018,
Marc Dennis,Where Dreams Come to Play,2017,
Peter Drake,Waiting for Toydot,2015,
Allen and Ellen Wexler,Overlook,2009,
Carson Fox,Blue Sky Pursuit,2009,
Malin Abrahamsson,On the Trail,2008,
Alan Sonfist,Narrative History,1993,
Timothy Hyunsoo Lee,Come Back Home,2018,
Ron Baron,Lost and Found,2005,
Brit Bunkley,Bay Shore Icons,1992,
Cara Enteles,Nature,2020,
Gail Boyajian,Aviary,2020,
Sandy Litchfield,Forestation,2020,
Tom Fruin,Sail,2019,
Roy Nicholson,Hempstead,2018,
Dave McQueen,Endless Sea,2018,
Joe Zucker,Grandfather,1998,
Jean Shin,Celadon Remnants,2008,
Ed McGowin,Bayside Story,1999,
Andrew Leicester,Ghost Series,1994,
David Saunders,Conductor's Watch and Key Chain,1992,
Mary Judge,American Season,2018,
William Low,Deer Park Dahlias,2018,
Armando Marino,Guardian Angel,2018,
Moe Brooker ,Just Jazz,2015,
Anita Thatcher,illuminated Station,2005,
Alice Adams,Planting,1995,
Armando Veve,Boat House Buggy,2021,
Alison Saar,copacetic / Hear the Lone Whistle Moan , 2018 / 1991 , Harlem-125 St
Corinne Ulmann,Croton-Harmon Station ,2013, Croton-Harmon
Holly Sears,Hudson River Explorers ,2012, Tarrytown
Joy Taylor,Jan Peeck’s Vine ,2012, Peekskill
Robert Goodnough,K—M—G ,2010, Ossining
Liliana Porter and Ana Tiscornia,Untitled with Sky ,2010, Scarborough
Joseph Cavalieri,"North, South and Home ",2009, Philipse Manor
Ellen Harvey,The Home of the Stars ,2009, Yankees-E 153 St
Nancy Blum,Floating Auriculas ,2007, Dobbs Ferry
Dennis Oppenheim,Rising and Setting ,2006, Riverdale
Barbara Segal,Muhheakantuck (The River that Flows Two Ways) ,2005, Yonkers
Ellen Driscoll,"As Above, So Below ",1998, Grand Central Terminal
Donald Lipski,Sirshasana ,1998, Grand Central Terminal
Roberto Juarez,A Field of Wild Flowers ,1997, Grand Central Terminal
Robert Taplin,Three Statues (A Short History of the Lower Hudson Valley) ,1996, Cortlandt
Damien Davis,Empirical Evidence ,2021, Mount Vernon 3rd Ave Bridge
Mark Fox,40˚54’37.9”N 73˚50’33.5”W ,2021, Mount Vernon 10th Ave Bridge
Josué Guarionex,CROSSCUT ,2021, Mount Vernon 6th Ave Bridge
Frances Gallardo,Line to Line ,2018, Mount Vernon 14th Ave Bridge
Bernard Greenwald,Images of Port Chester / Port Chester Scenes , 2018 / 2011 , Port Chester
Kim Cridler,Where the Sweet Waters Fall ,2014, Mamaroneck
Loren Eiferman,HOME: INSIDE/OUTSIDE ,2014, Pelham
Matt Mullican,Untitled ,2011, Rye
Joy Taylor,The Four Seasons ,2005, Larchmont
Tova Snyder,Railroads and Rooftops ,2002, Harrison
Marjorie Blackwell,Tranquility ,2001, Mount Vernon East
Terry Adkins,Harlem Encore ,1999, Harlem-125 St
Barbara Takenaga,Forte (Quarropas); Blue Rails (White Plains) ,2020, White Plains
Tricia Wright,"Morning Glory, Evening Splendor; The Perennial Village ",2019, Crestwood
Dan Funderburgh,Eureka ,2016, Fordham
SITU Studio,Percolate ,2015, North White Plains Parking Garage
Jane Greengold and Kane Chanh Do,Almost Home ,2002, Pleasantville
Anne Huibregtse,Arrival ,2000, Wassaic
Rolando Briseño,At the Table ,1991, North White Plains
Martha Jackson-Jarvis,Travelin’ Time ,1991, Mount Vernon West
Tom Nussbaum,Workers ,1991, Hartsdale & Scarsdale
Arthur Gonzalez,Time Catcher & The Finder / The Seekers ,1990, Fleetwood & Tuckahoe
