artist,date,title,source,percent funded?
Caproni Brothers,1918,BOYS PLAYING ON TRUMPETS,education,
Lamb Studios,1919,YOUNG MEMORIAL,education,
Louis Tiffany,1919,WALTER B. GUNNISON MEMORIAL WINDOW,education,
Onorio Ruotolo,1919,"""TOSCANINI""",education,
Charles Tefft,1920,CLINTON HS WORLD WAR MEMORIAL,education,
Edwin Blashfield,1920,THE GRADUATE,education,
Edwin Child,1920,JOHN HOLLEY CLARK,education,
Fraser,1920,"""PROFILE OF ROOSEVELT""",education,
Henry Brewer,1920,A STREET IN SEVILLE,education,
Herman Macneil,1920,"MAQUETTE FOR ""PIONEER MONUMENT""",education,
J. Brewer,1920,ST PAUL'S CATHEDRAL ( THE CHANCEL),education,
Joseph Gersei,1920,NURSERY RHYMES,education,
Louis Eilshemius,1920,"""THE BATHERS""",education,
Ruth Ordway,1920,SCENES FROM THE HISTORY OF THE BRONX,education,
V Miserendino,1920,T. ROOSEVELT,education,
Gorham Company,1921,"""WW 1 MEMORIAL PLAQUE""",education,
Francis Mora,1921,EDUCATION PROVIDING ILLUMINATION,education,
Frederic Triebel,1921,"""PORTRAIT OF DANTE""",education,
M. H. Keck,1921,WW I COMMEMORATIVE PLAQUE,education,
Abraham Bogdanove,1922,PEACE,education,
William Rice,1922,"""JONAS BRONCK PURCHASING LAND FROM INDIANS""",education,
Deane Keller,1923,"""DECORATIVE STAINED GLASS""",education,
Edith Woolf,1923,"""CHILDREN PLAYING VARIOUS GAMES IN FIELD""",education,
Lamb Studios,1923,"""BLAKE TABLET"" (LILLIE DEVEREUX)",education,
Zim,1923,IN MEMORY OF ABRAHAM RADGIK,education,
J.E. Steinmeier,1923,"""WWI MEMORIAL TABLET""",education,
O.B. Jorkman,1923,"""TABLET OF JAMES D. DILLINGHAM""",education,
William Rice,1923,"""MOTHER GOOSE""",education,
Caproni Brothers,1924,THREE BACCAHANTES DANCING,education,
Abraham Bogdanove,1925,"""WISDOM GIVETH LIFE""",education,
Attilio Piccirilli,1925,"""BUST OF COLUMBUS""",education,
Charles Basing,1925,"""PASTORAL SCENE""",education,
Edith Woolf,1925,"""AMERICA IN THE MAKING""",education,
Lamb Studios,1925,SCHOLARSHIP AND CHARACTER,education,
Frank Roggeni,1925,"""SAGA OF KNOWLEDGE""",education,
Fredrick Stoddard,1925,UPWARD,education,
George Nelson,1925,EDUCATION INSPIRES YOUTH TO SERVICE AND LOYALTY,education,
William Pogany,1925,GREEK ART,education,
William Pogany,1925,SIX OCTAGON PORTRAITS OF PAINTERS,education,
William Pogany,1925,AZTEC ART,education,
William Pogany,1925,"""IN THE STUDIO OF VELASQUEZ, LEONARDO & PUPIL""",education,
William Rice,1925,"""THE CHANGES OF FASHIONS FROM PREHISTORIC TIMES TO DATE""",education,
Abraham Bogdanove,1926,"""THE ARRIVAL OF THE MAYFLOWER""",education,
Auguste Gorguet,1926,IN MEMORIAM (AFTER CONFLICT COMES PEACE),education,
Florence Lundborg,1926,"""GARDEN OF INSPIRATION""",education,
Jossey Bilan,1926,"""DR. A.L. COLESMAN""",education,
Revesz Ferryman,1926,"""MUSIC, DANCING, RHYTHM""",education,
Edith Woolf,1927,"""NURSERY TALES""",education,
George Nelson,1927,THE IDEAL SCHOOL,education,
Ruth Ordway,1928,"""LIFE OF ANNE HUTCHINSON""",education,
Ruth Ordway,1928,"""A MAP OF BRONKSLAND""",education,
Alan Doggett,1929,"""HANS BRINKER OF THE SILVER SKATES""",education,
Carl Lella,1929,"""SCIENCE"" AND ""ART""",education,
Gertrude Kanno,1929,"""J. HERBERT LOW""",education,
Abraham Bogdanove,1930,HENRY HUDSON,education,
Edwin Blashfield,1930,"""THE GRADUATE""",education,
Frank Nagy,1930,LAMBS,education,
Hendrick De Keiser,1930,DESIDERIUS ERASMUS,education,
R. Muller,1930,HAAREN HIGH SCHOOL ART ROOM,education,
Thomas Spector,1930,JOHN L. TILDSLEY,education,
Antonio De Filippo,1931,"""LUX AT VERITAS""",education,
Bryant Baker,1931,"""THE PIONEER WOMAN""",education,
Christine Veit-Lange,1931,PORTRAIT OF GROVER CLEVELAND,education,
Elizabeth Olds,1931,STEEL'S KITCHEN GARDEN,education,
Joseph Nicolosi,1931,"""WILLIAM H. SEWARD""",education,
Suzanne Miller,1931,A HISTORY OF COLONIAL LONG ISLAND,education,
Carl Lella,1932,INSPIRATIONAL FORCES OF LIFE.  SEE NOTES...,education,
Florence Lundborg,1932,QUEST FOR KNOWLEDGE,education,
Joseph Lichtenauer,1932,"""THE GRACES"", ""THE SPIRITS""",education,
Paul Cadmus,1932,FOUR BOATS,education,
Carl Lella,1933,"""ADVENTURE"", ""ROMANCE""",education,
Deane Keller,1933,"""VALLEY FORGE""",education,
Eastman Johnson,1933,"""SURRENDER OF YORKTOWN 1781""",education,
Ernest Peixotto,1933,"""WASHINGTON THE SOLDIER"" AND ""OUR FRENCH ALLIES"".",education,
Henri Chapu,1933,JOAN OF ARC,education,
Monroe Hewlett,1933,"""WASHINGTON AND HIS FRIENDS AT MOUNT...",education,
Paul Fjelde,1933,"""LIBERTY""",education,
Rockwell Kent,1933,STARRY NIGHT,education,
Vincenzo Miserendino,1933,ADOLPH S. OCHS,education,
Adolph Block,1934,WILLIAM CULLEN BRYANT,education,
Benjamin Knotts,1934,"""DECORATIVE MAPS""",education,
David Margolis,1934,"""THE HISTORY OF AMERICAN MUSIC""",education,
Domenico Mortellito,1934,"""PETROLEUM INDUSTRY""",education,
Federico Castellon,1934,"""ADVANCEMENT OF SCIENCE""",education,
Lamb Studios,1934,"""CHARACTER, SCHOLARSHIP, SCIENCE, SERVICE..",education,
Francis Kughler,1934,"""NEW YORK HARBOR""",education,
Hendryk Glintenkamp,1934,DAILY WORKER,education,
John Connah,1934,"""THE PLEASURES OF LIVING""",education,
Louis Lozowick,1934,MANHATTAN BRIDGE,education,
Louis Lozowick,1934,FIRST AVENUE MARKET,education,
Michael Loew,1934,TRAINING TECHNICAL AND VOCATIONAL WORKERS,education,
O. Guglielmi,1934,NEW ENGLAND ARABESQUE,education,
Oscar Mundhenk,1934,ART AND SCIENCE,education,
William Bahnmuller,1934,WOMEN IN INDUSTRIES,education,
Brenda Bench,1935,BASKETBALL,education,
Chaim Gross,1935,BASKETBALL PLAYERS,education,
Chaim Gross,1935,COLLEGE GIRL,education,
Zucker,1935,"""PREHISTORIC MURAL""",education,
Hans Foy,1935,"""HILLSIDE WITH FIELDS AND HOUSE""",education,
John Johansen,1935,"""KATE E. TURNER, PRINCIPAL""",education,
Joseph Margulies,1935,"""FRANCIS H. J. PAUL""",education,
Max Spivak,1935,HERALD,education,
Max Spivak,1935,TOY SOLDIER,education,
Michael Loew,1935,"""INDUSTRIAL CHRONOLOGY IN TEXTILE...",education,
Robert Archer,1935,SUNSET ON PORT AUTHORITY BUILDING,education,
Rudolf Henn,1935,GIRL READING,education,
Agnes Tait,1936,MY DOORSTEP,education,
Arthur Mower,1936,BEACH OF VALENCIA BY MORNING LIGHT,education,
Bertram Goodman,1936,EVOLUTION OF THE BOOK,education,
Boris Luban,1936,DR. HERBERT J. LOW,education,
Cesare Stea,1936,"""NEGRO COUPLE""",education,
Edward Child,1936,"""GILBERT S. BLAKELY PRINCIPAL 1913-1925",education,
Elizabeth Olds,1936,RHYTHM BAND WPA,education,
Eric Mose,1936,POWER,education,
Geoffrey Norman,1936,CULTURAL DEVELOPMENT OF ART IN CIVILIZATION,education,
Gerard Recke,1936,EDUCATIONAL MOTIVE: SPORTS & SCIENCE,education,
Gerard Recke,1936,SPIRITUAL MOTIVE: GALAHAD,education,
Gerard Recke,1936,AESTHETIC MOTIVE,education,
Greta Kempton,1936,PORTAIT OF KATE TURNER,education,
Gyula Zilzer,1936,CONNECTICUT WATERFRONT,education,
Gyula Zilzer,1936,FISHING VILLAGE CLINTON CONN.,education,
Jean Charlot,1936,THE ART CONTRIBUTION TO CIVILIZATION OF ALL NATIONS,education,
Jean Peszel,1936,LATE 18TH CENTURY GOWN OF BLUE SATIN,education,
Jovan De Rocco,1936,THE HUDSON SIDE,education,
Jules Halfant,1936,BATTLE OF OLD BROADWAY,education,
Kyra Markham,1936,"BACKSTAGE ""PORGY AND BESS""",education,
Louis Lozowick,1936,SUBWAY STATION,education,
Milton Horn,1936,"DANCE, TENNIS, BASKETBALL",education,
Milton Horn,1936,"FOOTBALL, HOCKEY, BASEBALL",education,
Mons Breidvik,1936,EVOLUTION OF COSTUME THROUGH THE AGES,education,
Monty Lewis,1936,THE COTTON INDUSTRY IN CONTEMPORARY AMERICA,education,
Nicola Anunziata,1936,"""PORTRAIT OF DEWITT CLINTON (SAMUEL MORSE)""",education,
Paul Lawler,1936,"""HISTORY OF TEXTILE INDUSTRY""",education,
Raymond Skolfield,1936,THE CITY,education,
Raymond Skolfield,1936,THE SEA LIONS POOL,education,
Sacha Moldovan,1936,NEW YORK OLD AND NEW,education,
Sarah Berman,1936,CLOWNS,education,
Theodore Wahl,1936,MIDTOWN TUNNEL CONSTRUCTION,education,
Vadim Chernoff,1936,"""MODERN CIVILIZATION; ART, EDUCATION, SCIENCE, INDUSTRY""",education,
William Bahnmuller,1936,CULTURAL DEVELOPMENT OF THE UNITED STATES,education,
Aaron Goodelman,1937,"""WORKER""",education,
Abraham Lishinsky,1937,MAJOR INFLUENCES IN CIVILIZATION,education,
Adolph Wolff,1937,"""BABOON""",education,
Alfredo Ximinez,1937,THE OX WAGON MEXICO,education,
Aline Fruhauf,1937,THE BEACH,education,
Allan Hermes,1937,PORTRAIT OF DR. HYMAN ALPERN,education,
Allan Hermes,1937,"PORTRAIT OF PRINCIPAL, DR. JAMES",education,
Allan Hermes,1937,"""CHARLES E. SPRINGMEYER PRINCIPAL OF FRANKLIN K. LANE HIGH SCHOOL 1923-1948",education,
Anne Nooney,1937,BROOKLYN STREET,education,
Augustus Peck,1937,WOMAN WITH RED HAIR,education,
B.S. Graen,1937,DOCK SCENE EAST RIVER,education,
Beatrice Mandelman,1937,SLATE YARD,education,
Benito Hoffman,1937,WATERFRONT,education,
Bernard Steffen,1937,RIVER DRIVE,education,
Blanche Grambs,1937,MILL,education,
Blandon Campbell,1937,DRAWING WATER ON THE FARM,education,
Boris Gorelick,1937,"ACCIDENT, STREET SCENE",education,
Charles Alston,1937,PEOPLE OF THE VILLAGE,education,
Charles Polowetski,1937,"""THE TECHNITE""",education,
Charles Sarka,1937,POE'S COTTAGE,education,
Chuzo Tamotzu,1937,HORSE AND WAGON,education,
David Burke,1937,COUNTRY RAILROAD TRACKS,education,
David Feinstein,1937,THE BOSS,education,
David Gutman,1937,"""SPORTS ACTIVITIES""",education,
Dayton Brandfield,1937,FULTON FISH MARKET,education,
Dayton Brandfield,1937,CLOWN ON UNICYCLE,education,
Dina Melikov,1937,HEAD OF A CHILD,education,
Elizabeth Olds,1937,CAMERA CLUB,education,
Ernest Fiene,1937,"""FASHION TRADE""",education,
Francois Rubitschung,1937,"""PROTECTION""",education,
George Constant,1937,THE CREEK,education,
George Constant,1937,FROM THE BALCONY,education,
George Constant,1937,WHEN WE WERE VERY YOUNG,education,
George Constant,1937,GEORGE WASHINGTON BRIDGE,education,
Gyula Zilzer,1937,THE ETCHING PRINTER,education,
Harold Faye,1937,SPUYTEN DUYVIL,education,
Harold Faye,1937,JERSEY LOCOMOTIVE,education,
Harris Rodvogin,1937,"""MAYFLOWER""",education,
Harris Rodvogin,1937,CONSTITUTION #2,education,
Harry Gottlieb,1937,SKATING ON ROUNDOUT CREEK,education,
Harry Shokler,1937,COUNTRY FIRE HOUSE,education,
Harry Sternberg,1937,"""STEEL MILL""",education,
Harry Sternberg,1937,NIGHT FLIGHT,education,
Harry Wolfson,1937,SWATCH OF YARD GOOD PRINTED WITH PORTRAIT OF GEORGE WASHINGTON,education,
Helen Nelson,1937,"""STANDING CHILDREN""",education,
Hugo Robus,1937,LITERATURE,education,
Ida Abelman,1937,PEEKSKILL WATERFRONT,education,
Ida Abelman,1937,STREET PATTERNS,education,
Jack Markow,1937,BRINGING IN THE FISH,education,
James Newell,1937,"""HENRY L. NORR PRINCIPAL 1925-1934""",education,
Jean Paleologue,1937,SUMMER TIME,education,
John Heines,1937,CORSICAN HILLSIDE,education,
Joseph Fleri,1937,CHILDREN IN MUSIC (RT) MUSIC AND DANCE (LT),education,
Joseph Leboit,1937,CHESS PLAYERS,education,
Joseph Leboit,1937,LAUNDRY,education,
Joseph Margulies,1937,"SPAN OF DEPOA BAY, OM",education,
Joseph Margulies,1937,IN FOG,education,
Joseph Margulies,1937,FRENCH CELLIST,education,
Joseph Margulies,1937,THE LESSON,education,
Joseph Vogel,1937,ANOTHER DAY,education,
Louis Maldarelli,1937,HEAVY CORN COLORED SILK DRESS OF 1780 -1790,education,
Luis Arenal,1937,DISTRIBUTION OF LAND,education,
M Lush,1937,"""RECLINING WOMEN""",education,
M. Murphy,1937,BOAT HOUSE,education,
Mabel Dwight,1937,CLIFFS BY THE SEA,education,
Mabel Jack,1937,COAL HOPPER AT 14TH STREET,education,
Maurice Glickman,1937,DESTITUTE (MOTHER AND CHILD),education,
Mina Lowry,1937,SAMPLE SWATCH OF SILK BLOCK PRINTED,education,
Minnetta Good,1937,STILL LIFE,education,
Mortimer Bourne,1937,LOWER FULTON STREET,education,
Moses Oley,1937,QUARRY,education,
N. Toor,1937,"""WINTER GAMES"" ""SUMMER GAMES""",education,
Nahum Tschacbascov,1937,"""STILL LIFE""",education,
Nat Lowell,1937,MAN ON PULLEY,education,
R Livingston,1937,GEORGE WASHINGTON,education,
Raphael Soyer,1937,WORKING GIRLS GOING HOME,education,
Robert Owen,1937,"""FOREST PATH""",education,
Robert Owen,1937,AUTUMN AFTERNOON,education,
Rudolf Henn,1937,WORKERS IN FOUNDRY,education,
Ruggiero Pierotti,1937,SMALL MOTIF BLOCK PRINT,education,
Ruggiero Pierotti,1937,"PRINTED COTTON, PROBABLY BEFORE MIDDLE OF XIX CENTURY",education,
Russel Limbach,1937,THE HAUNTED HOUSE,education,
Russel Speakman,1937,SEASONS OF THE YEAR,education,
Ruth Chaney,1937,NIGHT SCENE,education,
Ruth Reeves,1937,WOMAN,education,
Samuel Margolies,1937,'FRUITS AND VEGETABLES',education,
Seymour Fogel,1937,"""EUROPEAN MUSIC""",education,
Seymour Fogel,1937,AFRICAN MUSIC,education,
Sol Wilson,1937,"""COVE SCENE""",education,
Sol Wilson,1937,FISHERMAN ON WHARF,education,
Ted Witonski,1937,ALEX'S HOUSE,education,
William Hicks,1937,HIGH SCHOOL SENIOR,education,
Winifred Gibbes,1937,IVORY SATIN WEDDING DRESS OF 1866,education,
Ann De Kohary,1938,"""L"" STATION WAITING ROOM",education,
Anne Nooney,1938,"TWILIGHT BROWNSVILLE, NYC",education,
Ben Berm,1938,THE FISHERMAN,education,
Carlos Anderson,1938,HOLIDAY TRAVELERS,education,
Charles Polowetski,1938,"""PORTRAIT OF DR. A. L. COLESON""",education,
Elizabeth Olds,1938,BICYCLE RACE,education,
Elliot Means,1938,PLAY,education,
Elliot Means,1938,OASIS,education,
George Constant,1938,"STILL LIFE WITH PEARS, BOWL AND CLOTH",education,
Helen Nelson,1938,BASEBALL AND JUMPROPE,education,
James Newell,1938,THE EVOLUTION OF WESTERN CIVILIZATION,education,
James Penney,1938,EARLY HISTORY OF FLUSHING,education,
Lucienne Bloch,1938,THE EVOLUTION OF MUSIC,education,
Robert Cronbach,1938,INDUSTRY,education,
Stewart Reinhart,1938,PARNASSIAN  CONVERSATION,education,
Vadim Morosoff,1938,"""WPA WORK""",education,
Boris Lacroix,1939,1)NORMANDYI  2) FRENCHLINE,education,
Charles Davis,1939,WORLD PROGRESS IN WRITTEN AND PRINTED ARTS,education,
Charles Polowetski,1939,PORTRAIT OF DR. GABRIEL R. MASON,education,
Charles Reina,1939,JOHN BOWNE'S PERSECUTION BY GOV. STUYVESANT,education,
Francis Costa,1939,"THE OLD BRONX, THE BRONX TODAY",education,
George Browne,1939,A. MORTIMER CLARK,education,
Gilmer Petroff,1939,THE BRITTON COTTAGE,education,
Gilmer Petroff,1939,THE PERINE HOUSE,education,
Guy Maccoy,1939,"""IMPORTANT WOMEN IN SILK INDUSTRY"", ...",education,
Harris Rodvogin,1939,NORTH BEACH AIRPORT,education,
Herman Simms,1939,"CHILDREN IN VOCATIONAL ACTIVITIES, CHILDREN AT PLAY",education,
Hildreth Meiere,1939,TELEPHONE LINEMAN . . .,education,
Jacques Van Aalten,1939,"""THE USE OF ELECTRICITY, CHEMISTRY, DESIGN AND RAW MATERIALS...",education,
Louis Lozowick,1939,O HIGGINS' TEAM,education,
Muriel Brennecke,1939,INDIAN CORN DANCE,education,
Muriel Brennecke,1939,INDIAN BUFFALO DANCE,education,
Nato Receputo,1939,THE WANDERINGS OF ULYSSES - HOMER'S WORLD,education,
Raymond Turner,1939,"""CHEMISTRY""",education,
A. Sembler,1940,BOAT SCENE,education,
Albert Webb,1940,THE MOON AND SIXPENCE,education,
Alfredo Ximinez,1940,FRUIT VENDOR,education,
Beatrice Romano,1940,UNTITLED - HAND BOUND BOOK OF PRINTS,education,
Bernard Schardt,1940,KENTUCKY CABIN,education,
Carlos Anderson,1940,FARM YARD,education,
Claire Mahl,1940,HEAD,education,
Dan Rico,1940,THE SEVEN AGES OF MAN,education,
Dan Rico,1940,SUBWAY DRILLERS,education,
Dan Rico,1940,EVENING MEAL,education,
David Burke,1940,INDUSTRIAL WORKS,education,
Effim Sherman,1940,BAND CONCERT,education,
Eli Jacobi,1940,RAIN  (FROM WPA BOOK OF GRAPHICS ACCESSION # 71228),education,
Eli Jacobi,1940,STEVE  (FROM WPA BOOK OF GRAPHICS ACCESSION # 71228),education,
Eli Jacobi,1940,THE NEW DEAL - PRO & CON  (FROM BOOK OF WPA GRAPHICS ACCESSION # 71228),education,
Eli Jacobi,1940,MAXIE'S MOOSE (FROM BOOK OF WPA GRAPHICS ACCESSION # 71228),education,
Eli Jacobi,1940,THE GRAND WINDSOR LOBBY (FROM BOOK OF WPA PRINTS ACCESSION # 71228),education,
Eli Jacobi,1940,THE GRAND WINDSOR LOUNGE (FROM BOOK OF WPA PRINTS ACCESSION # 71228),education,
Eli Jacobi,1940,BAR AND GRILL (FROM WPA BOOK OF GRAPHICS ACCESSION # 71228),education,
Eli Jacobi,1940,ALL NIGHT MISSION (FROM BOOK OF WPA GRAPHICS ACCESSION # 71228),education,
Ernest Fiene,1940,HISTORY OF THE NEEDLECRAFT INDUSTRY,education,
Harry Sternberg,1940,MAN'S DREAM,education,
I.J. Sanger,1940,"SAWMILL, NOVA SCOTIA",education,
I.J. Sanger,1940,FLOWERS,education,
Isaac Goldat,1940,PORTRAIT OF A YOUNG MAN,education,
Isami Doi,1940,ROOF TOPS,education,
James Sherman,1940,THREE DEER,education,
Julia Rogers,1940,ROPES AND LOBSTER POTS,education,
Julia Rogers,1940,SHIPS GRAVEYARD,education,
Julius Tanzer,1940,HUDSON RIVER FERRY,education,
Julius Tanzer,1940,WARD'S ISLAND,education,
Lev Landau,1940,ST. JOHN STREET,education,
Louis Breslow,1940,FRIDAY ON ORCHARD STREET,education,
Louis Breslow,1940,HERE COMES THE PARADE,education,
M. Murphy,1940,HURDY GURDY,education,
M. Murphy,1940,FLOWER STUDY,education,
M. Murphy,1940,FISH DAY,education,
Mac Raboy,1940,FISHING FOR COINS,education,
Nat Lowell,1940,RIDING HIGH,education,
Oscar Weissbuch,1940,THE CORN CRIB,education,
Oscar Weissbuch,1940,LONG ISLAND LANDSCAPE,education,
Oscar Weissbuch,1940,FIELDS IN SPRING,education,
Riva Helfond,1940,WATERWICH CROSSING,education,
Rudolf Henn,1940,"""MEMORIAL PLAQUE-IN MEMORY OF CORINNE M...",education,
Ruth Reeves,1940,"""STUDENT ACTIVITIES IN SCHOOL""",education,
Ruth Sihan,1940,PSYCHOSIS - TWO NAPOLEANS AND A JOSEPHINE,education,
Samuel Margolies,1940,FLOODLIGHTS,education,
Sara Murrell,1940,BARNS,education,
Ted Witonski,1940,THE SEAL OF PAIN,education,
Theodore Haupt,1940,"""CHILDREN PLAYING AT GYM""",education,
Edna Hershman,1941,"""INDUSTRY AND FARMING""",education,
Eric Maunsbach,1941,YOUNG MAN IN THE COSTUME OF A MAJO,education,
Eric Maunsbach,1941,MRS. GRACE ELLIOT,education,
Eric Maunsbach,1941,"""THE OLD WOMAN""",education,
 Sussman,1941,BRICK WORK INTERIOR,education,
Irene Pereira,1941,THE DIAGONAL,education,
James Mcnally,1941,"""ENGLISH LITERATURE""",education,
Nicola Anunziata,1941,"""MOTHER AND CHILD""",education,
George Stonehill,1942,"ON THE GREEN, NIEUW AMSTERDAM",education,
Georgiano Augusta,1942,GEORGIANO AUGUSTA,education,
John Curry,1942,OUR GOOD EARTH,education,
Nathanel Kaz,1942,"""CHEERLEADER""",education,
Abraham Tobias,1943,TRIUMPH OF SCIENCE OVER CHARLETISM,education,
Joseph Margulies,1945,"""ROOSEVELT""",education,
Bertram Goodman,1946,"""SKYLINE""",education,
Maxwell Starr,1947,HISTORY OF MANKIND IN TERMS OF MENTAL AND PHYSICAL LABOR,education,
Walter Ferguson,1947,ARCTIC ANIMAL LIFE,education,
Edmond Amateis,1948,"AS YE SOW, SO SHALL YE REAP",education,
Walter Ferguson,1948,"""BIRDS OF LONG ISLAND""",education,
Edward Buyck,1950,"""STAMPING MILL""",education,
Jack Stewart,1951,WILBUR & ORVILLE WRIGHT: DETAIL OF INCEPTION OF FLIGHT,education,
Jack Stewart,1951,INCEPTION OF FLIGHT,education,
Joseph Kiselewski,1951,BULLFROG,education,
Abraham Tobias,1952,SACRIFICE OF YOUTH FOR DEMOCRACY AND FULFILLMENT OF YOUTH,education,
Anne Arnold,1953,A SAILOR HOME ON LEAVE,education,
Donald De Lue,1953,"""CREATION OF THE UNIVERSE""",education,
Gwen Lux,1954,"""EDUCATION-ASPIRATION""",education,
Mary Callery,1954,FABLES OF LA FONTAINE,education,
Charles Alston,1955,"ABRAHAM LINCOLN, FRANKLIN ROOSEVELT",education,
Edward Laning,1955,"WOODROW WILSON, ANDREW JACKSON",education,
Ernest Fiene,1955,THOMAS JEFFERSON - GEORGE WASHINGTON,education,
Max Spivak,1955,"""TOOLS OF EDUCATION""",education,
Sue Hodes,1955,"""BUFFALO HUNT""",education,
Walter Ferguson,1955,"""PORTRAIT OF PRINCIPAL""",education,
Abraham Tobias,1956,FAMILY COURT MURAL,education,
Amy Jones,1956,CHRISTMAS IN ROME,education,
Carl Jennewein,1956,"""SEAL OF THE CITY OF NEW YORK 1664""",education,
Costantino Nivola,1956,"""SCULPTURED PANELS""",education,
Henry Poor,1956,"""CITY OF NEW YORK""",education,
Leigh Wiener,1956,"WONDERS OF WAR, EARTHQUAKE SURVIVORS,. . .",education,
Max Spivak,1956,TOOLS OF EDUCATION,education,
Architects Milnes And Melniker,1957,"""ORNAMENTAL WORLD MAP""",education,
Ben Shahn,1957,SCIENCE AND THE HUMANITIES,education,
Clemente Spampinato,1957,SCHOOL ACTIVITIES,education,
Clemente Spampinato,1957,"""BASKETBALL""",education,
Francis Bradford,1957,"""ARTS, LETTERS, SCIENCES""",education,
Jack Lubin,1957,LIBERAL ARTS,education,
Jack Lubin,1957,GYMNASTICS,education,
John Terken,1957,THOMAS ALVA  EDISON,education,
Marjorie Dangerfield,1957,DR. BAILEY K. ASHFORD (1873-1934),education,
Annie Malmud,1958,HENRIETTA SZOLD,education,
Anton Refregier,1958,COLORFUL FIGURES OF AMERICAN HISTORY,education,
Charles Keller,1958,THE INVENTION,education,
Clemente Spampinato,1958,"""SPORT""",education,
Frank Reilly,1958,"""FIGURES OF HISTORY""",education,
Gwen Lux,1958,VAPOR TRAILS,education,
Helen Treadwell,1958,EARLY NEWSPAPER PRINTING,education,
Jack Stewart,1958,"CHILDREN AT PLAY, STUDY",education,
John Terken,1958,"""OPEN WIDE THE MIND'S CAGE DOOR; (SEE NOTES)",education,
Lumen Winter,1958,GREENWICH VILLAGE AND ITS CULTURAL ACTIVITIES,education,
Lumen Winter,1958,ARTS AND SCIENCES,education,
Mary Callery,1958,ACROBATS,education,
Stuyvesant Van Veen,1958,CHILDREN PLAYING,education,
Valerie Clarebout,1958,UNDERWATER BALLET,education,
William Rosenthal,1958,COL. DAVID MARCUS,education,
Austin Purves,1959,"""MENTAL, SPIRITUAL AND PHYSICAL ACTIVITIES""",education,
Carl Jennewein,1959,YOUTH AIMING HIGH,education,
Ethel Cutler,1959,CAPE CANAVERAL,education,
Francis Bradford,1959,THE PHYSICAL SCIENCES,education,
Frank Reilly,1959,"THE HUMANITIES PROTECTING BIOLOGY, PHYSICS AND CHEMISTRY",education,
Gwen Lux,1959,"SUN, BIRDS, AND LIGHT/ EAGLE",education,
Jack Lubin,1959,"1. ""SYMBOLS OF CULTURAL AND PHYSICAL ACTIVITI",education,
Jack Stewart,1959,"""MODEL: MOSAIC MURAL FOR THE CORRIDOR OF PS 28""",education,
Nathanel Kaz,1959,TRAGEDY AND COMEDY,education,
Nathanel Kaz,1959,"""GROWTH""",education,
Abraham Tobias,1960,TEACHER AND STUDENT,education,
