artist,date,title,source,percent funded?
Amy Jones,1978,AMERICAN FALLS,education,
Amy Jones,1978,RIVER IN MAINE,education,
Amy Jones,1981,CHRISTIANSTED,education,
Amy Pryor,2021,Day Into Night Into Day ,mta,
Amy Yoes,2009,SPECTRUM,education,yes
Andrea Arroyo,1994,HARMONY II,education,yes
Andrea Arroyo,2006,"My Sun (Mi Sol), My Planet (Mi Planeta) and My City (Mi Ciudad) ",mta,
Andrea Belag,2018,Brooklyn Transitions ,mta,
Andrea Blum,1997,East 107th Street Recreational Pier,public,yes
Andrea Dezș,2006,Community Garden ,mta,
Andrea Dezș,2019,Nature Wall ,mta,
Andrea Dezș,2012,Nature Rail ,mta,
Andrea Spadini,1965,Delacorte Clock,public,
Andrew Ginzel & Kristin Jones,1998,Oculus ,mta,
Andrew Leicester,1994,Ghost Series,mta,
"Andrew O'Connor, Jr.",1936,John Wolfe Ambrose,public,
Andy Yoder,2004,THE THREE B'S,education,yes
Angelo Grado,1976,MORTON STONE,education,
Angelo Racioppi,1941,Christopher Columbus,public,
Anita Fleischner,1975,ABRAHAM H. LASS,education,
Anita Fleischner,,"""MAN WITH BOOK""",education,
Anita Thatcher,2005,illuminated Station,mta,
Anita Toney,1976,THE AMERICAN SCENE 1976,education,
Ann Agee,2001,WORLDS FAIR 2003,education,yes
Ann De Kohary,1938,"""L"" STATION WAITING ROOM",education,
Ann De Kohary,,HUDSON STREET,education,
Ann Evans,1981,Rockaway Mosaic,public,
Ann Gillen,,REACHING FOR THE STARS (ASPERA AD ASTRA),education,
Ann Gillen,1987,Medb's Crown,percent,yes
Ann Hamilton,2018,CHORUS ,mta,
Ann Leggett,,THE AMERICAN TRUCKING INDUSTRY,education,
Ann Marie McDonnell,1995,A Bird Named Goldilocks,public,
Ann Schaumburger,1997,Urban Oasis ,mta,
Anna Huntington,1915,Joan of Arc Memorial,public,
Anna Huntington,1965,Jose Julian Marti,public,
Anna Valentina Murch,1997,Cycles,percent,yes
Anne Arnold,1953,A SAILOR HOME ON LEAVE,education,
Anne Arnold,1983,BOB'S TRAILER,education,
Anne Arnold,1985,THANKSGIVING (EMPIRE STATE),education,
Anne Delaporte,2013,EDITORIAL BLUE,education,
Anne Huibregtse,2000,Arrival ,mta,
Anne Nooney,1937,BROOKLYN STREET,education,
Anne Nooney,1938,"TWILIGHT BROWNSVILLE, NYC",education,
Anne Nooney,,WINTER SUN,education,
Anneta Duveen,1972,Robert F. Kennedy Memorial,public,
Anneta Duveen,1977,Cornelius Heeney,public,
Annette Davidek,2002,Roundlet Series ,mta,
Annie Malmud,1958,HENRIETTA SZOLD,education,
Antenna Design New York,2010,Bloemendaal ,mta,
Anthony de Francisci,1930,Independence Flagstaff,public,
Anthony Frudakis,1993,Socrates,public,
Anthony Frudakis,1996,Doric Columns,public,
Anthony Grande,1921,Kissena Park World War I Monument,public,
Anthony Grande,1929,Upland Park Memorial,public,
Anthony Toney,1975,FREEDOM FOR ALL,education,
Anthony Toney,,ADELE'S STUDENTS,education,
Anton Refregier,1958,COLORFUL FIGURES OF AMERICAN HISTORY,education,
Anton Schaaf,1920,Ridgewood Memorial,public,
Anton Schaaf,1921,Glendale War Memorial,public,
Anton Van Dalen,1996,THE FLYING BOOK,education,
Anton Van Dalen,1996,GARDEN WALL,education,
Anton Van Dalen,1996,GARDEN PATH,education,yes
Anton van Dalen,1997,Work & Nature ,mta,
Antoni Milkowski,1971,Skagerrak,public,
Antonin Carl̬s,1895,James Gordon Bennett Memorial,public,
Antonio De Filippo,1931,"""LUX AT VERITAS""",education,
Antonio de Filippo,1938,Monitor Memorial,public,
Antonio Martorell,1994,"CHILDREN'S ALPHABET - THE LETTER ""Y""",education,
Antonio Martorell,,CHILDREN'S ABC,education,yes
Architects Milnes And Melniker,1957,"""ORNAMENTAL WORLD MAP""",education,
Arlan Huang,1996,"AMERICAN ORIGINS - DO RE MI, DOO WOP, PADME HUMM",education,
Arlan Huang,1996,American Origins,percent,yes
Arlan Huang,2005,Suddenly Laughter,percent,yes
Arlene Slavin,1995,HOPSCOTCH (STAIRS) & RUNNING WILD (WALL),education,yes
Armando Marino,2018,Guardian Angel,mta,
Armando Veve,2021,Boat House Buggy,mta,
Arnold Brunner,1895,Jacob H. Schiff Fountain,public,
Arnold Gold,1996,MASAI BRAID #1,education,
Art Spiegelman,2012,"IT WAS ONLY TODAY, YESTERDAY",education,
Arthur Gonzalez,1990,Time Catcher & The Finder / The Seekers ,mta,
Arthur Mower,1936,BEACH OF VALENCIA BY MORNING LIGHT,education,
Arts for Transit Collaborative,2000,For Want of a Nail ,mta,
Arts for Transit Collaborative,2004,New York City Architectural Artifacts from the Collection of the Brooklyn Museum ,mta,
Attilio Piccirilli,1925,"""BUST OF COLUMBUS""",education,
Attilio Piccirilli,1913,Firemen's Memorial,public,
Attilio Piccirilli,1913,U.S.S. Maine National Monument,public,
Attilio Piccirilli,1926,Christopher Columbus,public,
August Werner,1939,Leiv Eiriksson,public,
Auguste Cavon,1867,Tigress and Cubs,public,
Auguste Gorguet,1926,IN MEMORIAM (AFTER CONFLICT COMES PEACE),education,
Augustin De Andino,1995,THE FADED REMEMBRANCE OF COLOR,education,
Augustus Lukeman,1915,Isidor and Ida Straus,public,
Augustus Lukeman,1921,Prospect Park War Memorial,public,
Augustus Mueller,1897,Mozart,public,
Augustus Peck,1937,WOMAN WITH RED HAIR,education,
Augustus Saint-Gaudens,1881,Admiral David Glasgow Farragut,public,
Augustus Saint-Gaudens,1884,Robert Richard Randall,public,
Augustus Saint-Gaudens,1897,Peter Cooper,public,
Augustus Saint-Gaudens,1903,William Tecumseh Sherman,public,
Augustus Saint-Gaudens,1903,Henry W. Maxwell Memorial,public,
Augustus Saint-Gaudens,1996,Henry W. Maxwell Memorial (replica),public,
Austin Purves,1959,"""MENTAL, SPIRITUAL AND PHYSICAL ACTIVITIES""",education,
Austin Thomas,2017,Plaza Perch,public,
B.S. Graen,1937,DOCK SCENE EAST RIVER,education,
Barbara Cooper,1994,"SUBTERRANEAN HIP-HOP, FELIPE'S CARTOON",education,
Barbara Ellmann,2007,The View from Here ,mta,
Barbara Ellmann,2006,All The Things You Are,percent,yes
Barbara Grygutis,2010,Bronx River View ,mta,
Barbara Segal,2005,Muhheakantuck (The River that Flows Two Ways) ,mta,
Barbara Takenaga,2020,Forte (Quarropas); Blue Rails (White Plains) ,mta,
Barry Faulkner,,SCENES FROM THE EARLY HISTORY OF MANHATTAN,education,
Barry Holden,1997,The Garden of Games,percent,yes
Beatrice Coron,2006,Bronx Literature ,mta,
Beatrice Coron,2015,On the Right Track ,mta,
Beatrice Coron,2003,Working in the Same Direction,percent,yes
Beatrice Coron,2003,Working in the Same Direction,public,
Beatrice Lebreton,2017,Wisdom Along the Way ,mta,
Beatrice Mandelman,1937,SLATE YARD,education,
Beatrice Romano,1940,UNTITLED - HAND BOUND BOOK OF PRINTS,education,
Belle Kinney,1933,Bronx Victory Memorial,public,
Ben Berm,1938,THE FISHERMAN,education,
Ben Clements,1964,"""HARRY EISNER PRINCIPAL OF FRANKILIN LANE HIGH SCHOOL 1948-1962""",education,
Ben Schonzeit,1994,"STUDY FOR COMMON GROUND, MURAL AT PS 205K",education,
Ben Schonzeit,1996,COMMON GROUND,education,
Ben Schonzeit,1996,Common Ground,percent,yes
Ben Shahn,1957,SCIENCE AND THE HUMANITIES,education,
Ben Snead,2009,Departures and Arrivals ,mta,
Benito Hoffman,1937,WATERFRONT,education,
Benjamin Knotts,1934,"""DECORATIVE MAPS""",education,
Bernard Greenwald,2018,Images of Port Chester / Port Chester Scenes ,mta,
Bernard Schardt,1940,KENTUCKY CABIN,education,
Bernard Steffen,1937,RIVER DRIVE,education,
Berthe Morisot,,FILLE DE DOS,education,
Bertram Goodman,1936,EVOLUTION OF THE BOOK,education,
Bertram Goodman,1946,"""SKYLINE""",education,
Bessie Potter Vonnoh,1936,Burnett Memorial Fountain,public,
Beta Porter,1976,FREEDOM UNDER THE CONSTITUTION,education,
Beta Porter,,THE LIBERATOR- THREE MOMENTOUS EVENTS IN AMERICAN HISTORY,education,
Beth Bailis,1994,OUR COMMUNITY THEN AND NOW,education,
Biagio Catella,1903,Rockefeller Fountain,public,
Bill & Mary Buchen,1992,SOUND PLAYGROUND,education,
Bill & Mary Buchen,,SOUND CARNIVAL,education,
Bill and Mary Buchen,1992,Sound Playground,percent,yes
Bill and Mary Buchen,1996,Sound Carnival,percent,yes
Bill Brand,2008,Masstransiscope ,mta,
Bill Taggart,1977,YELLOW SHUNT,education,
Bing Lee,1996,ONCE UPON A TIME,education,
Bing Lee,2004,YOU ARE HERE,education,
Bing Lee,,ONE LINE,education,yes
Bing Lee,1998,Empress Voyage 2.22.1794 ,mta,
Blanche Grambs,1937,MILL,education,
Blandon Campbell,1937,DRAWING WATER ON THE FARM,education,
Bob Cassilly,1993,Hippopotamus Fountain,public,
Bob Chaplin,1979,HIGH TIDE-LOW TIDE-BEACHY HEAD,education,
Bob Rivera,1992,Open Voyage,percent,yes
Bogdan Grom,1967,"""SCHOOL PLAYTIME""",education,
Boris Gorelick,1937,"ACCIDENT, STREET SCENE",education,
Boris Lacroix,1939,1)NORMANDYI  2) FRENCHLINE,education,
Boris Luban,1936,DR. HERBERT J. LOW,education,
Bradford Greene,1995,Gretta Moulton Gate,public,
Brenda Bench,1935,BASKETBALL,education,
Brian Tolle,2017,Pageant,public,
Brinsley Tyrrell,1996,HALL OF FAME,education,yes
Brit Bunkley,1992,Bay Shore Icons,mta,
Bruno Mankowski,1957,Lithuanian Flyers Memorial,public,
Bruno Zimm,1906,Slocum Disaster Memorial,public,
Bruno Zimm,1910,Woman's Health Protective Association,public,
Bryan Hunt,2006,Coenties Ship,public,
Bryant Baker,1931,"""THE PIONEER WOMAN""",education,
Buell Mullen,1976,FREEDOM OF THE FUTURE IN SPACE,education,
Buell Mullen,1976,LANDING ON THE MOON,education,
Burnis Day,1991,"""BUILDING A NATION""",education,
Burt Johnson,1923,Woodside Doughboy,public,
Burt Johnson,1929,Clinton War Memorial,public,
Byron Pickett,1871,Samuel Finley Breese Morse,public,
C. Paul Jennewein,1941,Brooklyn Public Library Doors,percent,yes
C. Paul Jennewein,1954,Eagle,public,
C. Weimer,1929,Gertie A. Gorman Memorial,public,
C.L. Richter,1859,Johann Christoph Friedrich Von Schiller,public,
Cadence Giersbach,2000,GARDEN IN A SCHOOL: IMPRESSIONS OF JACKSON HEIGHTS,education,yes
Cadence Giersbach,2006,From Earth to Sky ,mta,
Cai Guo-Qiang,2007,One Stone,public,yes
Cal Lane,2013,The Digs ,mta,
Callie Hirsch,2011,Vast ,mta,
Camille Billops,1975,THE WAR OF THE FIVES,education,
Camille Billops,1995,PS 4 ONSTAGE,education,yes
Camille Billops,1996,GOOD MORNING IN NEW YORK,education,
Camille Billops,,LIBRARY,education,
Candida Alvarez,,WHAT DO YOU SEE?,education,yes
Candida Alvarez,2006,B is for Birds in the Bronx ,mta,
Caproni Brothers,1918,BOYS PLAYING ON TRUMPETS,education,
Caproni Brothers,1924,THREE BACCAHANTES DANCING,education,
Caproni Brothers,,CHILDREN PLAYING INSTRUMENTS,education,
Caproni Brothers,,BOYS SINGING FROM BOOK,education,
Caproni Brothers,,UNTITILED,education,
Caproni Brothers,,"""CHILDREN SINGING""",education,
Caproni Brothers,,CANTORIA FRIEZE AFTER LUCA DELLA ROBBIA - 4 CASTS AND 1 CAST OF BACCHANTES DANCI,education,
Caproni Brothers,,BOYS PLAYING DRUMS,education,
Caproni Brothers,,CHILDREN PLAYING ON SYMBOLS,education,
Cara Enteles,2020,Nature,mta,
Cara Lynch,2016,Inheritance: In Memory of American Glass ,mta,
Carl Cheng,2001,Community Island Pond,public,
Carl Cheng,2001,Shadow Garden,public,yes
Carl Conrads,1880,Alexander Hamilton,public,
Carl Heber,1923,Greenpoint War Memorial,public,
Carl Jennewein,1956,"""SEAL OF THE CITY OF NEW YORK 1664""",education,
Carl Jennewein,1959,YOUTH AIMING HIGH,education,
Carl Lella,1929,"""SCIENCE"" AND ""ART""",education,
Carl Lella,1932,INSPIRATIONAL FORCES OF LIFE.  SEE NOTES...,education,
Carl Lella,1933,"""ADVENTURE"", ""ROMANCE""",education,
Carl Mose,1935,Caribou,public,
Carl Schmitz,1954,Joseph Pulitzer,public,
Carl Tefft,1905,Fountain of Life,public,
Carlos Anderson,1938,HOLIDAY TRAVELERS,education,
Carlos Anderson,1940,FARM YARD,education,
Carlos Anderson,,THIRTY MILES UPSTATE,education,
Carlos Columbino,1999,"""COLUMBINO PAINTING""/ ART WALL ""(EDUCATIONAL COMPONENT)""",education,
Carlos Nunez,1999,ARIES TROPICALES,education,
Carlton Ingleton,1997,The Spirit of Love,percent,yes
Carol Byard,,FIRST IN THE HEART IS THE DREAM,education,
Carol Field,1987,6 PIECES - SEE COMMENTS FOR TITLES,education,
Carol Sun,1998,PS 16 TREE OF KNOWLEDGE,education,yes
Carol Sun,,"PS 16, TREE OF KNOWLEDGE",education,
Carol Sun,2007,A Bronx Reflection ,mta,
Carole Byard,1996,First in the Heart is the Dream,percent,yes
Carrie Mae Weems,,"THE SPIRIT OF MIND, BODY AND HEALTH",education,yes
Carson Fox,2009,Blue Sky Pursuit,mta,
Cartaino Pietro,,"BUST OF JOHN BURROUGHS, 1837 - 1921",education,
Carter Jones,2014,Lieutenant Joseph Petrosino,public,
Casey Adams,,TIES III/ ART WALL,education,
Caspar Buberl,1872,Robert Fulton,public,
Celia Munoz,1994,MIND GAMES,education,yes
Cesare Stea,1936,"""NEGRO COUPLE""",education,
Chaim Gross,1935,BASKETBALL PLAYERS,education,
Chaim Gross,1935,COLLEGE GIRL,education,
Chaim Gross,1962,IN FRONT OF THE ARK,education,
Chaim Gross,,FENCING BOY,education,
Chaim Gross,,HURDLERS,education,
Chaim Gross,1992,The Family,public,
Chakaia Booker,2012,Sugar in My Bowl II,public,yes
Charles Alston,1937,PEOPLE OF THE VILLAGE,education,
Charles Alston,1955,"ABRAHAM LINCOLN, FRANKLIN ROOSEVELT",education,
Charles Alston,1964,MAN ON THE THRESHOLD OF THE SPACE AGE,education,
Charles Alston,1975,KNOWLEDGE AND ADVANCEMENT,education,
Charles Basing,1925,"""PASTORAL SCENE""",education,
Charles Baskerville,1976,ODE TO AUDUBON GREAT AMERICAN NATURALIST,education,
Charles Baskerville,1976,"ODE TO AUDOBON, GREAT AMERICAN NATURALIST",education,
Charles Davis,1939,WORLD PROGRESS IN WRITTEN AND PRINTED ARTS,education,
Charles Gaines,1980,COLOR REGRESSION # 1 #2  #3,education,
Charles Hafner,1975,Peter Pan,public,
Charles Keck,1917,"""SOUTHERLAND TABLET""",education,
Charles Keck,1919,Spanish War Memorial,public,
Charles Keck,1922,Sixty First District Memorial,public,
Charles Keck,1934,Bronx County Building Frieze (30 panels),public,
Charles Keck,1935,Right Reverend Monsignor John P. Chidwick,public,
Charles Keck,1937,Father Francis P. Duffy,public,
Charles Keck,1950,Governor Alfred E. Smith Memorial,public,
Charles Keck,1951,Brooklyn War Memorial,public,
Charles Keller,1958,THE INVENTION,education,
Charles Keller,1983,THE BOUDOIR,education,
Charles Luce,1985,AIM AT THE ( L)EDGE,education,
Charles Luce,1986,TIMEPIECE,education,
Charles Polowetski,1937,"""THE TECHNITE""",education,
Charles Polowetski,1938,"""PORTRAIT OF DR. A. L. COLESON""",education,
Charles Polowetski,1939,PORTRAIT OF DR. GABRIEL R. MASON,education,
Charles Polowetski,,"""GEORGE WASHINGTON""",education,
Charles Reina,1939,JOHN BOWNE'S PERSECUTION BY GOV. STUYVESANT,education,
Charles Reina,1974,LIFE'S JOURNEY,education,
Charles Rumsey,1925,Zion Park War Memorial,public,
Charles Sarka,1937,POE'S COTTAGE,education,
Charles Searles,1990,Cultural Harmony,percent,yes
Charles Searles,1997,Freedom's Gate,public,yes
Charles Stoughton,1923,Seventh Draft Board,public,
Charles Tefft,1920,CLINTON HS WORLD WAR MEMORIAL,education,
Charles Turner,1905,OPENING THE ERIE CANAL,education,
Chester Beach,1909,Von Weber Memorial,public,
Chetan,1990,TREASURE OF INDIA,education,
Chris Doyle,2003,FIELD TRIPS,education,
Chris Doyle,2003,Field Trips,percent,yes
Chris Green,2011,HEART OF THE SUN,education,
Chris Shelton,1972,"""AIR AFRIQUE #4""",education,
Chris Vilardi,2015,Sophocles,public,
Chris Wade Robinson,2002,Dream Train ,mta,
Christian Zimmerman,1997,Dragon Fountain,public,
Christina Schlesinger,1994,OLD EAST NEW YORK,education,
Christine Veit-Lange,1931,PORTRAIT OF GROVER CLEVELAND,education,
Christophe Fratin,1863,Eagles and Prey,public,
Christopher Janney,1996,"Reach New York, An Urban Musical Instrument ",mta,
Christopher Jones,1982,VISITATION,education,
Christopher Jones,1982,PAUMANOK,education,
Christopher Russell,2012,Bees for Sunset Park ,mta,
Christopher Sproat,2000,V-Beam ,mta,
Christopher Wynter,1999,Migration ,mta,
Christy Rupp,1997,TIME FLIES,education,yes
Chuck Close,2017,Subway Portraits ,mta,
Church Glass (Fabricator),,"""LIFE OF ERASMUS"" ALSO CALLED ""ALUMNI ...",education,
Chuzo Tamotzu,1937,HORSE AND WAGON,education,
Claire Mahl,1940,HEAD,education,
Claudia Demonte,1994,ANIMAL COUNT,education,yes
Claudia DeMonte,1993,Shrine to Learning,percent,yes
Claudia DeMonte,1998,Wheel of Justice,percent,yes
Claudia DeMonte,2002,The Wheel of Justice,public,
Clemence Miletti,,BOATS AT DECK,education,
Clemente Spampinato,1957,SCHOOL ACTIVITIES,education,
Clemente Spampinato,1957,"""BASKETBALL""",education,
Clemente Spampinato,1958,"""SPORT""",education,
Clemente Spampinato,1961,PHYSICAL EDUCATION,education,
Clemente Spampinato,1962,"""FOOTBALL, BASKETBALL, AND POLE VAULTING""",education,
Clemente Spampinato,1963,AD ASTRA PER LIBROS,education,
Clemente Spampinato,1965,"""WILLIAM T. DAVIS""",education,
Clemente Spampinato,1967,ASPIRATION OF YOUTH,education,
Clemente Spampinato,1967,JUSTICE BENJAMIN N. CARDOZO,education,
Clemente Spampinato,1971,ELEMENTS OF EDUCATION,education,
Clendon Pole,1978,INTERGALACTIC JOURNEY,education,
Cliff(Ord) Young,1962,LONG ISLAND HERITAGE,education,
Cliff(Ord) Young,1976,FREEDOM OF RELIGION,education,
Clyde Lynds,1994,AD ASTRA PER ASPERA,education,yes
Colin Chase,1997,Elegy for El-Hajj Malik Shabazz,percent,yes
Colin Chase,2002,Breath and Mandala,percent,yes
Comer Jennings,1978,CHAMBERED NAUTILUS,education,
Concetta Scaravaglione,,GIRL WITH FAWN,education,
Connie Fenicchia,2012,(CHILDREN AT) PLAY,education,
Constance Kiermaier,,STUDY FOR MOSIAC MURAL FOR PS 377-K,education,
Corinne Grondahl,2008,Metromorphosis/Birth of a Station ,mta,
Corinne Ulmann,2013,Croton-Harmon Station ,mta,
Costantino Nivola,1956,"""SCULPTURED PANELS""",education,
Costantino Nivola,1960,"""HORSES""",education,
Costantino Nivola,1965,RELIEF PANELS,education,
Costantino Nivola,1965,"""EDUCATION AND LEARNING""",education,
Costantino Nivola,1968,ROOF PROMENADE SCULPTURE,education,
Costantino Nivola,1968,"""UNKNOWN""",education,
Costantino Nivola,1970,SYNTHESIS OF ACADEMIC AND VOCATN'L ENDEAVORS,education,
Costantino Nivola,1972,EDUCATION AND FAMILY,education,
Costantino Nivola,1973,THE FAMILY,education,
Costantino Nivola,,ACADEMIC ACHIEVEMENT,education,
Creighton Michaels,1986,LUFTSCHIFF (3),education,
Crystal Lorch-Seidman,,"MAQUETTE FOR ""THE LIVELY NARROWS""",education,
Cyn Mc Clean,1984,NANTUCKET,education,
D Cady,1984,SHOSHONE CANYON,education,
