artist,date,title,source
Al Loving,2001,"Brooklyn, New Morning ",mta_all
Jackie Chang,2000,Signs of Life ,mta_all
Dan George,1999,Mermade/Dionysus and the Pirates ,mta_all
Eric Pryor,1999,Life and Continued Growth ,mta_all
Verna Hart,1999,Jammin’ Under the EL ,mta_all
Isha Shabaka,1999,Units of the Free ,mta_all
Millie Burns,1999,IL7/Square ,mta_all
DeBorah Goletz,1998,Postcards from Sheepshead Bay ,mta_all
Owen Smith,1998,"An Underground Movement: Designers, Builders, Riders ",mta_all
Anton van Dalen,1997,Work & Nature ,mta_all
Muriel Castanis,1996,Flatbush Floogies ,mta_all
Jimmy James Greene,1996,Children’s Cathedral ,mta_all
Jane Greengold,1995,Wings for the IRT: The Irresistible Romance of Travel ,mta_all
Susan Tunick,1994,Brighton Clay Re-Leaf Nos. 1-4 ,mta_all
Patsy Norvell,1994,Garden Stops ,mta_all
Emmett Wigglesworth,1994,CommUnion ,mta_all
Kathleen McCarthy,1990,Five Points of Observation ,mta_all
David Wilson,1988,Transit Skylight ,mta_all
Ray Ring,1987,Clark Street Passage ,mta_all
Rhoda Andors,1987,Kings Highway Hieroglyphs ,mta_all
Amy Pryor,2021,Day Into Night Into Day ,mta_all
Rico Gatson,2018,Beacons ,mta_all
Roy Secord,2018,Bronx Seasons Everchanging ,mta_all
Jaime Arredondo,2015,Garden of Earthly Delights ,mta_all
Priscila De Carvalho,2015,"Bronx: Heart, Homeland ",mta_all
Amanda Schachter & Alexander Levi,2015,Cross-Bronx Waterway ,mta_all
Soonae Tark,2015,Have a Happy Day ,mta_all
Luisa Caldwell,2011,Station Villa ,mta_all
William Low,2011,A Day in Parkchester ,mta_all
Alison Moritsugu,2011,"Community (Acer rubrum, Rosa palustris, Smilax rotundifolia, Carya cordiformis) ",mta_all
Jean Whitesavage & Nick Lyle,2011,Bronx Trees ,mta_all
Alfredo Ceibal,2010,Permanent Residents and Visitors ,mta_all
Maria Cristalli & Marc Brown,2010,The Land Between Two Waters ,mta_all
Barbara Grygutis,2010,Bronx River View ,mta_all
George Crespo,2009,Latin American Stories ,mta_all
Lisa Amowitz,2008,Urban Renewal ,mta_all
Laura Battle,2008,How to get to the moon… ,mta_all
Felipe Galindo,2008,Magic Realism in Kingsbridge ,mta_all
Corinne Grondahl,2008,Metromorphosis/Birth of a Station ,mta_all
José Ortiz,2008,Many Trails ,mta_all
Marina Tsersarskaya,2008,Bronx. Four Seasons ,mta_all
Tomie Arai,2007,Back to the Garden ,mta_all
Daniel Hauben,2007,The El ,mta_all
Mario M. Muller,2007,Urban Motif ,mta_all
Carol Sun,2007,A Bronx Reflection ,mta_all
Candida Alvarez,2006,B is for Birds in the Bronx ,mta_all
Andrea Arroyo,2006,"My Sun (Mi Sol), My Planet (Mi Planeta) and My City (Mi Ciudad) ",mta_all
Amir Bey,2006,The Procession of Folk #3 ,mta_all
Michele Brody,2006,Allerton Mandalas ,mta_all
Dina Bursztyn,2006,Views from Above ,mta_all
Noel Copeland,2006,Leaf of Life ,mta_all
Béatrice Coron,2006,Bronx Literature ,mta_all
Joseph D’Alesandro,2006,Homage ,mta_all
Andrea Dezsö,2006,Community Garden ,mta_all
Nicky Enright,2006,Universal City ,mta_all
Skowman Hastanan,2006,A Secret Garden: There's No Place Like Home ,mta_all
Juan Sánchez,2006,Reaching Out For Each Other ,mta_all
Josie Gonzalez Albright,2005,Children at Play ,mta_all
Moses Ros,2005,"Patriasana, Wholesomeland ",mta_all
Naomi Campbell,2004,Animal Tracks ,mta_all
Daniel del Valle,2004,A Trip Up the Bronx River ,mta_all
Vito Acconci (Acconci Studio),2002,Wall-Slide ,mta_all
Helene Brandt,2002,Room of Tranquility ,mta_all
Frank Leslie Hampton,2000,Uptown New York ,mta_all
José Ortega,1996,"Una Raza, Un Mundo, Universo (One Race, One World, One Universe) ",mta_all
Romare Bearden,1993,Untitled (“City of Light”) ,mta_all
Michael Kelly  Williams,1992,El 2 and El 5 ,mta_all
Jeffrey Gibson,2020,I AM A RAINBOW TOO ,mta_all
Diane Carr,2018,Outlook ,mta_all
Elisabeth Condon,2018,Urban Idyll ,mta_all
Maureen McQuillan,2018,Crystal Blue Persuasion ,mta_all
Sarah Morris,2018,Hellion Equilibrium ,mta_all
Stephen Westfall,2018,Perasma I & II; Dappleganger ,mta_all
Linda Ganjian,2016,Home Sweet Home ,mta_all
Mia Pearlman,2016,Soar ,mta_all
Béatrice Coron,2015,On the Right Track ,mta_all
Ray King,2015,Connections ,mta_all
Haresh Lalvani,2015,MORPHINGS88 ,mta_all
Laura F. Gibellini,2013,Dom (Variations) ,mta_all
Tricia Keightley,2012,Hunters Point Avenue Project ,mta_all
Ingo Fast,2011,On and Off the Boardwalk ,mta_all
Callie Hirsch,2011,Vast ,mta_all
Simon Levenson,2011,The Beaches of New York City ,mta_all
Mauricio Lopez,2011,Past/Present/Future ,mta_all
Michael Miller,2011,Surf Station 90 ,mta_all
George Bates,2011,Symphonic Convergence 1&2 ,mta_all
Jill Parisi,2011,Coom Barooom ,mta_all
Duke Riley,2011,Be Good or Be Gone ,mta_all
Jason Rohlf,2011,Respite ,mta_all
K.K. Kozik,2008,First on the Beach and Wednesday Night Fireworks ,mta_all
Ellen Harvey,2005,"Look Up, Not Down ",mta_all
Tom Patti,2004,Passage ,mta_all
Elizabeth Murray,2001,Stream ,mta_all
Sydney Cash,2000,Columns ,mta_all
Dimitri Gerakaris,1999,Woodside Continuum ,mta_all
Yumi Heo,1999,Q is for Queens ,mta_all
Ik-Joong Kang,1999,Happy World ,mta_all
Pablo Tauler,1996,In Memory of the Lost Battalion ,mta_all
Frank Olt,1992,Temple Quad Reliefs ,mta_all
Sam Gilliam,1991,"Jamaica Center Station Riders, Blue ",mta_all
Kathleen McCarthy,1990,Five Points of Observation ,mta_all
John Cavanagh,1986,Commuting/Community ,mta_all
Everet,2018,A portrayal of life at mill creek,mta_all
Jenna Lucente,2017,"Tottenville Sun, Tottenville Sky",mta_all
Yayoi Kusama,2022,A message of love,mta_all
Kiki Smith,2022,River Light,mta_all
James Little,2020,Radiant Memories,mta_all
Derrick Adams ,2019,Around the Way,mta_all
James Gulliver Hancock,2018,Connection,mta_all
Dan Funderburgh,2018,SHOAL,mta_all
Marc Dennis,2017,Where Dreams Come to Play,mta_all
Peter Drake,2015,Waiting for Toydot,mta_all
Allen and Ellen Wexler,2009,Overlook,mta_all
Carson Fox,2009,Blue Sky Pursuit,mta_all
Malin Abrahamsson,2008,On the Trail,mta_all
Alan Sonfist,1993,Narrative History,mta_all
Timothy Hyunsoo Lee,2018,Come Back Home,mta_all
Ron Baron,2005,Lost and Found,mta_all
Brit Bunkley,1992,Bay Shore Icons,mta_all
Cara Enteles,2020,Nature,mta_all
Gail Boyajian,2020,Aviary,mta_all
Sandy Litchfield,2020,Forestation,mta_all
Tom Fruin,2019,Sail,mta_all
Roy Nicholson,2018,Hempstead,mta_all
Dave McQueen,2018,Endless Sea,mta_all
Joe Zucker,1998,Grandfather,mta_all
Jean Shin,2008,Celadon Remnants,mta_all
Ed McGowin,1999,Bayside Story,mta_all
Andrew Leicester,1994,Ghost Series,mta_all
David Saunders,1992,Conductor's Watch and Key Chain,mta_all
Mary Judge,2018,American Season,mta_all
William Low,2018,Deer Park Dahlias,mta_all
Armando Marino,2018,Guardian Angel,mta_all
Moe Brooker ,2015,Just Jazz,mta_all
Anita Thatcher,2005,illuminated Station,mta_all
Alice Adams,1995,Planting,mta_all
Armando Veve,2021,Boat House Buggy,mta_all
Alison Saar,1991,copacetic / Hear the Lone Whistle Moan ,mta_all
Corinne Ulmann,2013,Croton-Harmon Station ,mta_all
Holly Sears,2012,Hudson River Explorers ,mta_all
Joy Taylor,2012,Jan Peeck’s Vine ,mta_all
Robert Goodnough,2010,K—M—G ,mta_all
Liliana Porter and Ana Tiscornia,2010,Untitled with Sky ,mta_all
Joseph Cavalieri,2009,"North, South and Home ",mta_all
Ellen Harvey,2009,The Home of the Stars ,mta_all
Nancy Blum,2007,Floating Auriculas ,mta_all
Dennis Oppenheim,2006,Rising and Setting ,mta_all
Barbara Segal,2005,Muhheakantuck (The River that Flows Two Ways) ,mta_all
Ellen Driscoll,1998,"As Above, So Below ",mta_all
Donald Lipski,1998,Sirshasana ,mta_all
Roberto Juarez,1997,A Field of Wild Flowers ,mta_all
Robert Taplin,1996,Three Statues (A Short History of the Lower Hudson Valley) ,mta_all
Damien Davis,2021,Empirical Evidence ,mta_all
Mark Fox,2021,40˚54’37.9”N 73˚50’33.5”W ,mta_all
Josué Guarionex,2021,CROSSCUT ,mta_all
Frances Gallardo,2018,Line to Line ,mta_all
Bernard Greenwald,2011,Images of Port Chester / Port Chester Scenes ,mta_all
Kim Cridler,2014,Where the Sweet Waters Fall ,mta_all
Loren Eiferman,2014,HOME: INSIDE/OUTSIDE ,mta_all
Matt Mullican,2011,Untitled ,mta_all
Joy Taylor,2005,The Four Seasons ,mta_all
Tova Snyder,2002,Railroads and Rooftops ,mta_all
Marjorie Blackwell,2001,Tranquility ,mta_all
Terry Adkins,1999,Harlem Encore ,mta_all
Barbara Takenaga,2020,Forte (Quarropas); Blue Rails (White Plains) ,mta_all
Tricia Wright,2019,"Morning Glory, Evening Splendor; The Perennial Village ",mta_all
Dan Funderburgh,2016,Eureka ,mta_all
SITU Studio,2015,Percolate ,mta_all
Jane Greengold and Kane Chanh Do,2002,Almost Home ,mta_all
Anne Huibregtse,2000,Arrival ,mta_all
Rolando Briseño,1991,At the Table ,mta_all
Martha Jackson-Jarvis,1991,Travelin’ Time ,mta_all
Tom Nussbaum,1991,Workers ,mta_all
Arthur Gonzalez,1990,Time Catcher & The Finder / The Seekers ,mta_all
NULL NULL,1964,Column of Jerash,public
NULL NULL,1967,Amiable Child Memorial,public
NULL NULL,1818,Fort George Memorial Tablet,public
NULL NULL,1834,Firemen's Memorial,public
NULL NULL,1867,Madison Square Fountain,public
Christophe Fratin,1863,Eagles and Prey,public
Henry Brown,1856,George Washington,public
James Batterson,1857,General William Jenkins Worth,public
C.L. Richter,1859,Johann Christoph Friedrich Von Schiller,public
NULL NULL,1865,Flushing Park Memorial,public
Daniel Draddy,1866,Soldiers Monument,public
John Ward,1869,The Indian Hunter,public
Auguste Caïn,1867,Tigress and Cubs,public
Emma Stebbins,1934,Christopher Columbus,public
Henry Brown,1870,Abraham Lincoln,public
Henry Brown,1869,Abraham Lincoln,public
Gustav Bläser,1869,Alexander von Humboldt,public
John Ward,1870,Seventh Regiment Memorial,public
NULL NULL,1870,Cherry Hill Fountain,public
Byron Pickett,1871,Samuel Finley Breese Morse,public
John Ward,1872,William Shakespeare,public
Ernst Plassman,1872,Benjamin Franklin,public
NULL NULL,1871,City Hall Park Fountain,public
George Simonds,1875,The Falconer,public
James MacDonald,1871,Washington Irving Memorial,public
Caspar Buberl,1872,Robert Fulton,public
Biagio Catella,1903,Rockefeller Fountain,public
Sir John Steell,1872,Sir Walter Scott,public
Emma Stebbins,1873,Bethesda Fountain,public
Frederic Bartholdi,1876,Marquis de Lafayette,public
Thomas Ball,1876,Daniel Webster,public
James MacDonald,1877,Fitz Greene Halleck,public
Giovanni Turini,1878,Giuseppe Mazzini,public
Randolph Rogers,1876,William Henry Seward,public
Dennis Sheahan,1879,Thomas Moore,public
John Draddy,1879,Thomas Moore,public
Augustus Saint-Gaudens,1881,Admiral David Glasgow Farragut,public
Carl Conrads,1880,Alexander Hamilton,public
Sir John Steell,1880,Robert Burns,public
Karl Donndorf,1881,Union Square Drinking Fountain,public
Edward Kemeys,1883,Still Hunt,public
Henry Baerer,1884,Conrad Poppenhusen Memorial,public
Hugo Hagen,1884,Ludwig Van Beethoven,public
Augustus Saint-Gaudens,1884,Robert Richard Randall,public
John Ward,1885,Pilgrim,public
Friedrich Beer,1885,Washington Irving Memorial,public
John Ward,1885,William Earl Dodge,public
Giovanni Turini,1888,Giuseppe Garibaldi,public
Ernst Herter,1899,Heinrich Heine Fountain,public
Albert Thorvaldsen,1891,Temperance Fountain,public
John Ward,1890,Alexander Lyman Holley,public
John Grignola,1970,Bronx River Soldier,public
John Ward,1891,Henry Ward Beecher Monument,public
John Ward,1916,Horace Greeley,public
Frederic Bartholdi,1900,Lafayette and Washington,public
Frederick MacMonnies,1893,Nathan Hale,public
James MacDonald,1891,Brigadier General Winfield Scott Hancock,public
Frederick MacMonnies,1891,James S.T. Stranahan,public
Louise Lawson,1891,Samuel Sullivan Cox,public
Albert Thorvaldsen,1894,Albert Bertel Thorvaldsen,public
Jeronimo Sunol,1894,Christopher Columbus,public
Gaetano Russo,1892,Columbus Monument,public
NULL NULL,1892,Declaration of Independence Marker,public
Alexander Doyle,1894,Horace Greeley,public
Philip Martiny,1892,Soldiers and Sailors Memorial Arch,public
Henry Baerer,1896,General Gouverneur Kemble Warren,public
John Ward,1893,Roscoe Conkling,public
NULL NULL,1939,Vanderbilt Gates,public
Thomas Eakins,1901,Abraham Lincoln,public
NULL NULL,1894,Hooper Fountain,public
Henry Baerer,1894,Ludwig Van Beethoven,public
Augustus Saint-Gaudens,1897,Peter Cooper,public
Thomas Eakins,1901,Ulysses S. Grant,public
Arnold Brunner,1895,Jacob H. Schiff Fountain,public
Antonin Carlès,1895,James Gordon Bennett Memorial,public
NULL NULL,1895,Maryland Memorial,public
Frederick MacMonnies,1895,Washington Square Arch,public
George Bissell,1896,Abraham De Peyster,public
Frederick Ruckstull,1896,Soldiers and Sailors Monument,public
William Partridge,1896,Ulysses Simpson Grant,public
NULL NULL,1897,Chinese Tablet,public
Augustus Mueller,1897,Mozart,public
George Bissell,1899,Chester Alan Arthur,public
Alexander Proctor,1898,Panthers,public
Frederick MacMonnies,1898,Quadriga: the Triumphal Progress of Columbia,public
Daniel French,1898,Richard Morris Hunt Memorial,public
Frederick MacMonnies,1899,The Horse Tamers,public
"Andrew O'Connor, Jr.",1936,John Wolfe Ambrose,public
Victor Peters (von Pieters),1899,Lioness and Cubs,public
Frederick MacMonnies,1900,The Army: Genius of Patriotism Urging American Soldiers On To Victory,public
NULL NULL,1901,Fort Washington Memorial,public
Frederick MacMonnies,1901,Four Eagles,public
NULL NULL,1901,Provost Prison,public
Frederick MacMonnies,1901,The Navy: American Sailors At Sea Urged On By the Genius of Patriotism,public
Henry Baerer,1902,General Edward Fowler,public
William Noble,1902,General Josiah Porter,public
Paul DuBoy,1902,Soldiers and Sailors Monument,public
Augustus Saint-Gaudens,1903,William Tecumseh Sherman,public
Augustus Saint-Gaudens,1903,Henry W. Maxwell Memorial,public
Jonathan Hartley,1903,John Ericsson Memorial,public
NULL NULL,1903,Mary Lindley Murray,public
NULL NULL,1904,Fort Tryon Memorial,public
John Williams,1905,Blockhouse,public
John Rhind,1905,Dr. Alexander J.C. Skene,public
Carl Tefft,1905,Fountain of Life,public
Frederick MacMonnies,1905,General Henry Warner Slocum,public
NULL NULL,1905,Grand Central Stones,public
Pierre Feitu,1909,Louis J. Heintz Memorial,public
Jonathan Hartley,1906,Algernon Sidney Sullivan,public
Harriet Fishmuth,1936,Call of the Sea,public
NULL NULL,1906,Chief Nimham Memorial,public
Henry Shrady,1906,George Washington at Valley Forge,public
Pasquale Civiletti,1906,Giuseppe Verdi,public
NULL NULL,1906,McGown's Pass Cannons,public
NULL NULL,1906,Robert Ray Hamilton Fountain,public
Bruno Zimm,1906,Slocum Disaster Memorial,public
Karl Bitter,1907,General Franz Sigel,public
Adolph Weinman,1908,Fort Greene Eagles,public
Martin Schenck,1908,Macombs Dam Park Fountain,public
Adolph Weinman,1908,Prison Ship Martyrs Monument,public
NULL NULL,1909,Edith G. Bowdoin ASPCA Horse Trough,public
Ettore Ximenes,1909,Giovanni da Verrazzano,public
NULL NULL,1909,Harlem Heights First Line of Defense,public
Chester Beach,1909,Von Weber Memorial,public
NULL NULL,1910,American Redout Marker,public
Bruno Zimm,1910,Woman's Health Protective Association,public
Henry Brown,1911,Cyrus Clark,public
Herbert Adams,1911,William Cullen Bryant,public
NULL NULL,1912,Edith G. Bowdoin ASPCA Horse Trough,public
NULL NULL,1912,Eleventh Milestone Marker,public
Attilio Piccirilli,1913,Firemen's Memorial,public
NULL NULL,1915,Wireless Operators Memorial,public
NULL NULL,1914,Battery Park Cannon,public
George Snowden,1934,The Majesty of the Law,public
NULL Tokyo Fine Arts School,1912,Japanese Cherry Tree Tablet,public
NULL NULL,1912,John Purroy Mitchel Memorial Flagstaff (2),public
NULL NULL,1912,Josephine Shaw Lowell,public
NULL NULL,1912,"New Hampshire, U.S.S.",public
Attilio Piccirilli,1913,U.S.S. Maine National Monument,public
Karl Bitter,1913,Carl Schurz Memorial,public
NULL NULL,1913,Jerry McAuley Drinking Fountain,public
NULL NULL,1913,John T. Brush Stairway,public
Edgar Walter,1914,Bear and Faun,public
Sigvald Asbjornsen,1914,Edvard Grieg Memorial,public
NULL NULL,1914,Fort Number Four Tablet,public
Virgil Fuller,1915,Eugene G. Putnam,public
Augustus Lukeman,1915,Isidor and Ida Straus,public
Anna Huntington,1915,Joan of Arc Memorial,public
NULL NULL,1915,Joseph Rodman Drake,public
Sherry Fry,1915,Major Clarence T. Barrett Memorial,public
NULL NULL,1916,Fort Hamilton D.A.R. Tablet,public
NULL NULL,1916,Fort Independence Park Tablet,public
Hermon MacNeil,1916,George Washington Accompanied by Fame and Valor,public
Karl Bitter,1916,Pulitzer Fountain,public
NULL NULL,1916,Star of Hope,public
Allen Newman,1916,The Hiker,public
Gutzon Borglum,1918,General Daniel Butterfield,public
Daniel French,1917,Lafayette Memorial,public
NULL NULL,1917,Milestone Park tablet,public
Alexander Calder,1918,George Washington Accompanied by Wisdom and Justice,public
NULL NULL,1919,Boy Scout's Tablet,public
Pietro Montana,1921,Bushwick-Ridgewood Memorial,public
Pietro Montana,1922,Bushwick-Ridgewood Memorial,public
NULL NULL,1919,John Merven Carrère,public
NULL NULL,1919,McLaughlin Park World War I Memorial,public
Sally Farnham,1921,Simón Bolívar,public
Charles Keck,1919,Spanish War Memorial,public
NULL NULL,1919,Theodore Roosevelt Tablet,public
NULL NULL,1921,Bronx Local Board #2 World War Memorial,public
NULL NULL,1920,Bushwick War Memorial,public
Eugene Morahan,1921,Carroll Park Memorial,public
Francis Muller,1921,Dreyfus Plaque,public
NULL NULL,1920,Sugar Loaf Rock Plaque,public
